frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
13.7294700000,0.328693,-0.000570,0.334470,-0.012491
36.9566400000,0.329858,0.017688,0.335303,0.004772
36.9708300000,0.328961,0.017479,0.332086,0.004609
36.9852400000,0.328365,0.017307,0.330248,0.004478
36.9993400000,0.325638,0.016407,0.327617,0.004184
37.0142800000,0.319260,0.014164,0.322444,0.003769
37.0284800000,0.311410,0.011203,0.311868,-0.000933
37.0434300000,0.301801,0.008572,0.302945,-0.003451
37.0565600000,0.290857,0.007237,0.283774,-0.005712
37.0711200000,0.284994,0.006433,0.280165,-0.005105
37.0850900000,0.276096,0.005374,0.276445,-0.003390
37.0994500000,0.268202,0.005674,0.269571,-0.001432
37.1136800000,0.268202,0.005674,0.269571,-0.001432
37.1280400000,0.256824,0.007433,0.246453,-0.000062
37.1427300000,0.242510,0.006498,0.239409,-0.000431
37.1567900000,0.230762,0.004889,0.235957,0.000381
37.1721200000,0.214479,0.001276,0.218933,-0.003267
37.1856000000,0.207906,0.001065,0.212023,-0.003278
37.1994200000,0.201902,0.000074,0.205595,-0.005772
37.2137500000,0.186388,-0.002096,0.197921,-0.005642
37.2281100000,0.177567,-0.003474,0.189551,-0.005903
37.2426800000,0.175096,-0.004411,0.186496,-0.006459
37.2565800000,0.163679,-0.008083,0.181935,-0.005633
37.2708100000,0.156538,-0.007693,0.175951,-0.004571
37.2852900000,0.150078,-0.008453,0.170587,-0.003797
37.3001400000,0.142796,-0.008981,0.164216,-0.004180
37.3153300000,0.136987,-0.009143,0.158255,-0.004602
37.3279300000,0.133365,-0.009364,0.156804,-0.006680
37.3426800000,0.128048,-0.010246,0.156190,-0.010020
37.3565600000,0.121041,-0.012266,0.151896,-0.012543
37.3709400000,0.118581,-0.013935,0.150886,-0.014031
37.3853800000,0.117925,-0.014670,0.150624,-0.014690
37.3993800000,0.117122,-0.016521,0.150250,-0.016426
37.4139600000,0.116857,-0.018228,0.150081,-0.018118
37.4281700000,0.117808,-0.019156,0.152062,-0.019489
37.4431600000,0.119691,-0.019449,0.157414,-0.018009
37.4569100000,0.120601,-0.019803,0.158717,-0.018104
37.4709400000,0.125173,-0.019502,0.163359,-0.017680
37.4850800000,0.125884,-0.019046,0.165831,-0.015146
37.4994100000,0.126375,-0.018401,0.168987,-0.014284
37.5137700000,0.126517,-0.017976,0.169924,-0.013681
37.5279400000,0.119718,-0.016086,0.156116,-0.013346
37.5427800000,0.086313,-0.015992,0.136236,-0.011149
37.5569700000,0.078785,-0.015265,0.127422,-0.008797
37.5713400000,0.072795,-0.014048,0.119963,-0.007038
37.5882500000,0.064760,-0.012388,0.112897,-0.005551
37.5994900000,0.056817,-0.011673,0.105912,-0.004566
37.6137200000,0.038006,0.012035,0.103314,-0.003981
37.6279900000,0.037611,0.013406,0.099954,-0.003316
37.6426600000,0.024206,0.024781,0.094144,-0.003014
37.6566500000,0.020985,0.027023,0.090391,-0.002936
37.6708500000,0.008797,0.031219,0.078089,-0.001798
37.6854100000,-0.000806,0.032510,0.069840,-0.002124
37.7001400000,-0.010554,0.032533,0.057199,0.000068
37.7141000000,-0.020352,0.031951,0.047250,0.001262
37.7279500000,-0.030462,0.031168,0.033451,0.001187
