frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
"5.1840690000","0.301203","-0.005188","0.284270","-0.028250"
"5.2780210000","0.300097","-0.005494","0.281030","-0.026842"
"5.2948180000","0.299179","-0.005112","0.276347","-0.023428"
"5.3133890000","0.298455","-0.003641","0.273248","-0.021042"
"5.3173900000","0.298455","-0.003641","0.273248","-0.021042"
"5.3233880000","0.297762","-0.002445","0.271797","-0.019756"
"5.3389490000","0.296562","-0.000218","0.270965","-0.018424"
"5.3530490000","0.295470","0.001785","0.270008","-0.016800"
"5.3697500000","0.294676","0.003439","0.269661","-0.015954"
"5.3817320000","0.294227","0.004261","0.269329","-0.015406"
"5.3944400000","0.292523","0.006781","0.268671","-0.014352"
"5.4087190000","0.292556","0.006313","0.268269","-0.013832"
"5.4229380000","0.291950","0.006971","0.267495","-0.013063"
"5.4374000000","0.291272","0.007738","0.266778","-0.012437"
"5.4527130000","0.290844","0.008140","0.266332","-0.012047"
"5.4679650000","0.289884","0.008377","0.264377","-0.012143"
"5.4874330000","0.287295","0.008673","0.252426","-0.012464"
"5.4948850000","0.272836","0.009276","0.243423","-0.011925"
"5.5099820000","0.266750","0.009359","0.238950","-0.010796"
"5.5256980000","0.256949","0.009818","0.231605","-0.009456"
"5.5378940000","0.255033","0.009687","0.227589","-0.009624"
"5.5514750000","0.249717","0.009993","0.223960","-0.009998"
"5.5675130000","0.249979","0.009726","0.223774","-0.010398"
"5.5802440000","0.264608","0.012365","0.236192","-0.004049"
"5.5957530000","0.265588","0.013728","0.236739","-0.004588"
"5.6091900000","0.265231","0.013924","0.236470","-0.005503"
"5.6236710000","0.262492","0.013108","0.235773","-0.006532"
"5.6379740000","0.258428","0.012545","0.234876","-0.007279"
"5.6539650000","0.246372","0.013519","0.232722","-0.008148"
"5.6745300000","0.231124","0.013344","0.204590","-0.012282"
"5.6805230000","0.228059","0.012748","0.200256","-0.012515"
"5.6942780000","0.220633","0.011641","0.192103","-0.012873"
"5.7094080000","0.215271","0.010987","0.184288","-0.013316"
"5.7231590000","0.215271","0.010987","0.184288","-0.013316"
"5.7374330000","0.206651","0.008966","0.177221","-0.014118"
"5.7556500000","0.197754","0.007256","0.169055","-0.014765"
"5.7719510000","0.191208","0.006154","0.168338","-0.015540"
"5.7808480000","0.185769","0.003609","0.164247","-0.016338"
"5.7980450000","0.183016","0.001965","0.155556","-0.019186"
"5.8088200000","0.180593","0.001554","0.153281","-0.021698"
"5.8230530000","0.170832","-0.001226","0.146483","-0.023111"
"5.8373660000","0.164755","-0.002342","0.138999","-0.025858"
"5.8517340000","0.162925","-0.002466","0.127853","-0.027275"
"5.8683240000","0.155622","-0.003089","0.115810","-0.029463"
"5.8808990000","0.146373","-0.004791","0.113876","-0.029880"
"5.8947350000","0.139849","-0.006344","0.107143","-0.029088"
"5.9136460000","0.058663","0.019961","0.099794","-0.027332"
"5.9266580000","0.058694","0.019795","0.096457","-0.026600"
"5.9386040000","0.057574","0.019738","0.081224","-0.025924"
"5.9525500000","0.048559","0.020003","0.075308","-0.025670"
"5.9658760000","0.043856","0.019365","0.071866","-0.025502"
"5.9805030000","0.030552","0.006897","0.062847","-0.024900"
"5.9944500000","0.024307","0.002655","0.059409","-0.024667"
"6.0092210000","0.014400","0.001328","0.051044","-0.023936"
"6.0230250000","0.005773","0.000680","0.042587","-0.023031"
"6.0384560000","-0.002288","0.002327","0.028350","-0.025011"
"6.0525200000","-0.008908","0.006026","0.024139","-0.025484"
"6.0729650000","-0.013336","0.007838","0.018369","-0.025693"
"6.0927420000","-0.019385","0.009763","0.006545","-0.023038"
"6.0947900000","-0.028725","0.011740","0.000576","-0.022188"
"6.1098860000","-0.039420","0.012830","-0.010555","-0.020739"
"6.1231790000","-0.043149","0.012938","-0.014523","-0.020562"
"6.1374110000","-0.052851","0.013071","-0.016860","-0.015126"
"6.1523610000","-0.063115","0.012618","-0.026585","-0.009277"
"6.1715320000","-0.070206","0.011616","-0.031585","-0.009014"
"6.1810620000","-0.074602","0.010359","-0.038874","-0.009861"
"6.1945380000","-0.080621","0.008175","-0.053834","-0.008352"
"6.2094910000","-0.083768","0.007428","-0.058584","-0.008291"
"6.2229270000","-0.090522","0.006186","-0.066038","-0.011228"
"6.2372380000","-0.094074","0.005563","-0.069294","-0.012619"
"6.2519460000","-0.096557","0.005098","-0.071676","-0.015287"
"6.2658720000","-0.097312","0.002108","-0.074370","-0.014379"
"6.2815240000","-0.097219","0.001860","-0.080080","-0.012956"
"6.2946110000","-0.098861","-0.001139","-0.087235","-0.012264"
"6.3098740000","-0.105452","-0.011132","-0.103502","-0.010705"
"6.3255070000","-0.108898","-0.013819","-0.109777","-0.009382"
"6.3374370000","-0.111100","-0.013841","-0.114748","-0.008920"
"6.3523790000","-0.115179","-0.013770","-0.118006","-0.008762"
"6.3681840000","-0.124541","-0.013901","-0.124084","-0.008484"
"6.3803920000","-0.132436","-0.013866","-0.130495","-0.007674"
"6.3962440000","-0.135517","-0.013698","-0.138405","-0.006561"
"6.4087100000","-0.138054","-0.013895","-0.143108","-0.004792"
"6.4228490000","-0.144089","-0.014453","-0.154056","0.000322"
"6.4394190000","-0.145473","-0.011748","-0.159725","0.000286"
"6.4536370000","-0.145777","-0.010922","-0.165775","0.000826"
"6.4715250000","-0.146061","-0.010591","-0.170554","0.000788"
"6.4804660000","-0.148437","-0.011650","-0.174024","0.000862"
"6.4944010000","-0.156699","-0.012451","-0.182211","0.001817"
"6.5087520000","-0.156699","-0.012451","-0.182211","0.001817"
"6.5230530000","-0.163325","-0.012329","-0.189182","0.002806"
"6.5374330000","-0.168053","-0.012269","-0.192320","0.005334"
"6.5527550000","-0.173212","-0.012587","-0.194413","0.007892"
"6.5660760000","-0.175952","-0.013069","-0.195417","0.008755"
"6.5819240000","-0.183980","-0.014212","-0.197195","0.010226"
"6.5948890000","-0.187288","-0.014526","-0.200548","0.011829"
"6.6086420000","-0.190134","-0.014945","-0.201313","0.012323"
"6.6235240000","-0.193155","-0.015373","-0.202116","0.013036"
"6.6387440000","-0.196047","-0.016545","-0.202307","0.013445"
"6.6525980000","-0.202547","-0.021881","-0.174706","0.016321"
"6.6659730000","-0.071113","0.001207","-0.046772","-0.004541"
"6.6820180000","-0.058628","0.003540","-0.038449","-0.000781"
"6.6944770000","-0.052089","0.004081","-0.032318","0.004354"
"6.7111620000","-0.042556","0.004913","-0.029329","0.005799"
"6.7229630000","-0.031745","0.005976","-0.016229","0.002323"
"6.7376140000","-0.026335","0.007516","-0.012207","0.002491"
"6.7516820000","-0.022384","0.008056","-0.005565","0.002834"
"6.7660540000","-0.016733","0.008779","0.003701","0.002260"
"6.7801280000","-0.016675","0.008088","0.008938","0.001843"
"6.7948600000","-0.011351","0.006278","0.017959","0.002725"
"6.8095870000","-0.003517","0.004464","0.026924","0.004076"
"6.8230550000","0.017502","0.010246","0.034647","0.005323"
"6.8401030000","0.021441","0.011021","0.039104","0.006023"
"6.8541190000","0.030745","0.011984","0.053984","0.007337"
"6.8775550000","0.039734","0.013708","0.058327","0.008015"
"6.8884940000","0.052042","0.016276","0.065765","0.009137"
"6.8957120000","0.061635","0.017673","0.077322","0.009986"
"6.9093720000","0.061635","0.017673","0.077322","0.009986"
"6.9230080000","0.063498","0.019933","0.081901","0.010111"
"6.9376880000","0.070920","0.024167","0.091292","0.010371"
"6.9524710000","0.080545","0.027178","0.103203","0.011366"
"6.9657960000","0.090960","0.030668","0.125416","-0.012491"
"6.9820290000","0.093168","0.027242","0.127281","-0.014422"
"6.9942900000","0.099856","-0.008909","0.133161","-0.016979"
"7.0090370000","0.099824","-0.009541","0.140335","-0.018351"
"7.0229580000","0.106239","-0.012579","0.145976","-0.019932"
"7.0377960000","0.129080","-0.012945","0.151690","-0.021195"
"7.0519830000","0.136784","-0.011027","0.153278","-0.021456"
