frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
"11.1557300000","0.476722","0.008254","0.454238","-0.107048"
"11.1700100000","0.476542","0.008674","0.453736","-0.107008"
"11.1838200000","0.476218","0.009339","0.454137","-0.106582"
"11.1981600000","0.476147","0.009626","0.454260","-0.106416"
"11.2162700000","0.475890","0.010343","0.454261","-0.105877"
"11.2271000000","0.474349","0.010746","0.453044","-0.105049"
"11.2410100000","0.471509","0.011042","0.451311","-0.103844"
"11.2560200000","0.467926","0.011064","0.447458","-0.102071"
"11.2695800000","0.463530","0.010071","0.443075","-0.100696"
"11.2835700000","0.460193","0.009301","0.440150","-0.100396"
"11.2979900000","0.458107","0.009191","0.435983","-0.100426"
"11.3133500000","0.456150","0.009442","0.428536","-0.100699"
"11.3265700000","0.455246","0.009485","0.426852","-0.101037"
"11.3469700000","0.451166","0.008333","0.422697","-0.101550"
"11.3550700000","0.445923","0.007637","0.420821","-0.101422"
"11.3702700000","0.436174","0.007310","0.416142","-0.101642"
"11.3839300000","0.434345","0.007446","0.423250","-0.077098"
"11.3983200000","0.432954","0.007146","0.421401","-0.075732"
"11.4131700000","0.419702","0.008445","0.416306","-0.074899"
"11.4264700000","0.411714","0.008498","0.410719","-0.072927"
"11.4409700000","0.404407","0.008523","0.392371","-0.100683"
"11.4550400000","0.375635","0.010438","0.409241","-0.101687"
"11.4701000000","0.384603","0.012184","0.425741","-0.093826"
"11.4842600000","0.505891","0.035818","0.472944","-0.077208"
"11.4990100000","0.516005","0.033712","0.483263","-0.077961"
"11.5123100000","0.515011","0.032385","0.492044","-0.080066"
"11.5264000000","0.511137","0.028420","0.497836","-0.082944"
"11.5407400000","0.508997","0.025969","0.500331","-0.084565"
"11.5555100000","0.499923","0.022899","0.502197","-0.086019"
"11.5695400000","0.493317","0.020979","0.503425","-0.087883"
"11.5839900000","0.491951","0.020506","0.500475","-0.090558"
"11.5982600000","0.481063","0.015925","0.456189","-0.103714"
"11.6139700000","0.474662","0.009261","0.444962","-0.106119"
"11.6265800000","0.463529","0.004671","0.433390","-0.113506"
"11.6410600000","0.459986","0.003508","0.427223","-0.116783"
"11.6553200000","0.457030","0.003239","0.424306","-0.117933"
"11.6694000000","0.456232","0.002231","0.423870","-0.118108"
"11.6836900000","0.452147","-0.000235","0.420171","-0.118372"
"11.6987000000","0.434474","-0.004382","0.422597","-0.099328"
"11.7132300000","0.427448","-0.002914","0.416924","-0.095797"
"11.7268600000","0.421184","-0.003799","0.416232","-0.096042"
"11.7416600000","0.419103","-0.004338","0.413524","-0.097648"
"11.7551700000","0.409729","-0.003545","0.400442","-0.098767"
"11.7693600000","0.402307","-0.004462","0.357074","-0.132753"
