frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
"17.1215800000","0.560962","0.067225","0.391417","-0.080844"
"17.1370800000","0.560362","0.067466","0.392413","-0.081267"
"17.1494600000","0.559679","0.067651","0.397018","-0.083700"
"17.1642400000","0.558057","0.068112","0.405931","-0.084465"
"17.1789200000","0.553031","0.061066","0.428553","-0.068081"
"17.1926900000","0.549561","0.055843","0.431337","-0.066538"
"17.2063900000","0.547975","0.054219","0.431097","-0.064670"
"17.2210000000","0.546710","0.053371","0.430800","-0.064678"
"17.2352800000","0.544410","0.051446","0.431825","-0.067207"
"17.2495200000","0.541783","0.048594","0.433350","-0.068971"
"17.2649600000","0.540484","0.046874","0.435038","-0.069996"
"17.2786100000","0.537738","0.042919","0.441108","-0.075613"
"17.2927300000","0.535685","0.040723","0.445457","-0.079072"
"17.3070200000","0.534663","0.039173","0.446281","-0.080324"
"17.3206700000","0.536067","0.035143","0.492433","-0.094652"
"17.3348900000","0.435091","-0.013242","0.551530","-0.075379"
"17.3496500000","0.434394","-0.013607","0.395050","-0.106195"
"17.3634500000","0.433635","-0.012844","0.393197","-0.111452"
"17.3776400000","0.433941","-0.011432","0.395361","-0.113008"
"17.3931200000","0.434864","-0.010860","0.400206","-0.114468"
"17.4066200000","0.438494","-0.011080","0.401855","-0.115368"
"17.4205100000","0.444608","-0.015603","0.394588","-0.118832"
"17.4350900000","0.448451","-0.016122","0.393192","-0.119185"
"17.4496700000","0.457198","-0.017296","0.393805","-0.119359"
"17.4634700000","0.463063","-0.017783","0.408139","-0.117011"
"17.4777500000","0.465009","-0.018205","0.408534","-0.116764"
"17.4920300000","0.468504","-0.018743","0.408310","-0.116476"
"17.5066000000","0.469198","-0.018534","0.406011","-0.115125"
"17.5215400000","0.469556","-0.018561","0.403947","-0.113841"
"17.5352200000","0.478226","-0.015547","0.413151","-0.105212"
"17.5496000000","0.491618","-0.011247","0.409323","-0.106449"
"17.5636100000","0.497354","-0.013114","0.408881","-0.107787"
"17.5780000000","0.501510","-0.010345","0.437372","-0.120917"
"17.5923000000","0.502976","-0.009794","0.440159","-0.121506"
"17.6063500000","0.503133","-0.009646","0.441263","-0.121787"
"17.6209600000","0.503354","-0.009399","0.442065","-0.122057"
"17.6348800000","0.505661","-0.008125","0.444863","-0.122535"
"17.6497600000","0.509719","-0.006903","0.448432","-0.122176"
"17.6635100000","0.509719","-0.006903","0.448432","-0.122176"
"17.6786700000","0.513649","-0.006035","0.453014","-0.121512"
"17.6919900000","0.516210","-0.005514","0.455387","-0.120326"
"17.7064800000","0.518056","-0.005005","0.457159","-0.118913"
"17.7209100000","0.519510","-0.003543","0.458745","-0.117574"
"17.7347600000","0.521493","-0.001301","0.460439","-0.116103"
"17.7495600000","0.522635","0.000054","0.461093","-0.115420"
"17.7636000000","0.524110","0.001826","0.461965","-0.114271"
"17.7777600000","0.532020","0.005490","0.486416","-0.103064"
"17.7922300000","0.534792","0.003548","0.473009","-0.106822"
"17.8066900000","0.533916","0.002396","0.465052","-0.108523"
"17.8205800000","0.523048","-0.003776","0.451011","-0.108714"
"17.8354800000","0.507165","-0.003137","0.441500","-0.111236"
"17.8496000000","0.501118","-0.003886","0.439007","-0.113470"
"17.8634200000","0.495035","-0.003200","0.431146","-0.120646"
"17.8778000000","0.490883","-0.002229","0.433469","-0.121235"
"17.8919800000","0.479670","-0.001620","0.434343","-0.121658"
"17.9064000000","0.475426","0.000673","0.434740","-0.121842"
"17.9209700000","0.474923","0.000791","0.434900","-0.121804"
"17.9357600000","0.472234","-0.001404","0.434379","-0.119149"
"17.9506800000","0.464793","-0.006091","0.431638","-0.118699"
"17.9655100000","0.457498","-0.007276","0.411737","-0.125994"
"17.9779900000","0.453857","-0.008277","0.405237","-0.129119"
"17.9923300000","0.443701","-0.012358","0.404256","-0.128902"
"18.0064100000","0.440074","-0.014759","0.401181","-0.127527"
"18.0211600000","0.435328","-0.017481","0.393133","-0.125639"
"18.0348300000","0.431093","-0.018521","0.377117","-0.131305"
"18.0497600000","0.418116","-0.007313","0.370336","-0.131152"
"18.0659500000","0.413337","-0.006498","0.368795","-0.131723"
"18.0780700000","0.410447","-0.005618","0.360478","-0.136286"
"18.0920400000","0.405235","-0.003043","0.349899","-0.137857"
"18.1068200000","0.399516","-0.013413","0.349376","-0.138497"
"18.1206900000","0.391786","-0.016172","0.352107","-0.140854"
"18.1348600000","0.385776","-0.016707","0.360367","-0.143317"
"18.1496500000","0.379487","-0.014750","0.361678","-0.143747"
"18.1634900000","0.374638","-0.013951","0.362022","-0.143655"
"18.1777200000","0.368190","-0.013194","0.298670","-0.146000"
"18.1930200000","0.364472","-0.012719","0.298593","-0.146233"
