frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
35.2105400000,-0.298691,0.006696,-0.381172,0.046500
35.2253300000,-0.323968,0.028529,-0.350720,0.048937
35.2382000000,-0.325227,0.030803,-0.348339,0.050119
35.2522000000,-0.325481,0.031377,-0.376225,0.041050
35.2666500000,-0.325529,0.031752,-0.353594,0.050702
35.2808100000,-0.325525,0.032006,-0.374782,0.042850
35.2954000000,-0.325452,0.032305,-0.374729,0.042967
35.3100100000,-0.325412,0.032429,-0.376255,0.041532
35.3253900000,-0.325318,0.032511,-0.377052,0.039923
35.3380200000,-0.325220,0.032442,-0.366067,0.035256
35.3523800000,-0.325139,0.032351,-0.369643,0.033041
35.3669400000,-0.325086,0.032460,-0.369944,0.032948
35.3809400000,-0.325052,0.032675,-0.369516,0.033170
35.3951000000,-0.325006,0.033052,-0.351081,0.034699
35.4102600000,-0.325021,0.033485,-0.343767,0.036574
35.4246200000,-0.324146,0.033080,-0.346245,0.035425
35.4387900000,-0.323242,0.032938,-0.340658,0.036030
35.4522600000,-0.314953,0.031032,-0.339223,0.035120
35.4665200000,-0.276726,0.008143,-0.347890,0.025015
35.4808000000,-0.273385,0.005155,-0.327677,0.029665
35.4951700000,-0.271320,0.002307,-0.333976,0.028323
35.5097400000,-0.266329,-0.002472,-0.310479,0.035015
35.5239200000,-0.264575,-0.002798,-0.304248,0.036057
35.5379600000,-0.261172,-0.001747,-0.290226,0.042994
35.5523900000,-0.253722,-0.001156,-0.283679,0.048835
35.5679000000,-0.250606,-0.000130,-0.284198,0.048823
35.5809900000,-0.248120,-0.000298,-0.301824,0.037041
35.5953200000,-0.244458,0.000798,-0.306570,0.034090
35.6095800000,-0.241254,0.002331,-0.291972,0.033223
35.6251100000,-0.218042,0.002039,-0.280078,0.034227
35.6382300000,-0.217762,0.008815,-0.275149,0.035689
35.6521900000,-0.208975,0.005647,-0.274642,0.034899
35.6665100000,-0.199151,0.005353,-0.269414,0.036128
35.6811500000,-0.193905,0.003147,-0.260619,0.040003
35.6958200000,-0.194026,0.001934,-0.257514,0.038400
35.7098500000,-0.190485,0.001056,-0.257118,0.033775
35.7240800000,-0.187037,-0.002106,-0.256261,0.032963
35.7379800000,-0.170209,-0.005258,-0.252082,0.020006
35.7523700000,-0.177289,0.000127,-0.251945,0.018267
35.7669800000,-0.187464,0.006973,-0.248468,0.016199
35.7808500000,-0.190162,0.007979,-0.244233,0.013491
35.7950400000,-0.190773,0.008327,-0.237882,0.011471
35.8098800000,-0.133177,-0.003722,-0.228216,0.009895
35.8243300000,-0.122837,-0.011988,-0.227676,0.009131
35.8387700000,-0.122039,-0.012271,-0.227379,0.008829
35.8523100000,-0.115482,-0.013164,-0.223122,0.007214
35.8665100000,-0.111055,-0.014356,-0.198111,0.003271
35.8807700000,-0.107268,-0.015996,-0.189015,-0.001030
35.8951500000,-0.102449,-0.017464,-0.183123,-0.005450
35.9099300000,-0.090707,-0.019020,-0.181479,-0.006406
35.9239600000,-0.087919,-0.018904,-0.174303,-0.007741
35.9380400000,-0.087291,-0.018963,-0.163327,-0.008463
35.9524500000,-0.067296,-0.016097,-0.152776,-0.009301
35.9670900000,-0.063734,-0.016667,-0.151103,-0.010070
35.9814000000,-0.057855,-0.018061,-0.122429,-0.006646
35.9951200000,-0.046952,-0.021480,-0.114794,-0.007602
36.0099000000,-0.044297,-0.038629,-0.106548,-0.007198
36.0243400000,-0.045073,-0.039288,-0.077146,-0.020359
36.0381900000,-0.047821,-0.037806,-0.077038,-0.017138
36.0521800000,-0.049106,-0.037031,-0.074847,-0.015891
36.0664100000,-0.045488,-0.028832,-0.070155,-0.013467
36.0808800000,-0.038256,-0.017016,-0.068473,-0.011452
36.0959800000,-0.036301,-0.014818,-0.060197,-0.004441
36.1095400000,-0.034794,-0.013214,-0.050906,0.002449
36.1249500000,-0.032935,-0.010107,-0.029321,-0.008949
36.1379700000,-0.026005,-0.008306,-0.027345,-0.010114
36.1527100000,-0.009086,-0.008550,-0.024853,-0.009976
36.1669800000,-0.000324,-0.008781,-0.019548,-0.009215
36.1809300000,0.113353,-0.005684,0.067429,-0.002982
36.1950900000,0.131325,-0.020211,0.079219,-0.005099
36.2097500000,0.138199,-0.018079,0.085713,-0.008231
36.2236000000,0.142083,-0.017466,0.087351,-0.008914
36.2380600000,0.142083,-0.017466,0.087351,-0.008914
36.2526200000,0.149894,-0.017292,0.092981,-0.009728
36.2665400000,0.168014,-0.022148,0.106941,-0.011517
36.2808600000,0.187274,-0.020755,0.109011,-0.012094
36.2951900000,0.191392,-0.017526,0.116128,-0.013438
36.3097200000,0.199767,-0.014263,0.118984,-0.011959
36.3236800000,0.205865,-0.013012,0.126694,-0.011628
36.3381100000,0.220966,-0.008510,0.158497,-0.024868
36.3528200000,0.234516,-0.010988,0.156118,-0.026972
36.3670200000,0.235540,-0.011793,0.153202,-0.029472
36.3809300000,0.240444,-0.013095,0.150079,-0.033119
36.3958200000,0.247589,-0.012270,0.163540,-0.030836
36.4101500000,0.247906,-0.012459,0.169317,-0.033622
36.4240900000,0.247104,-0.012672,0.179793,-0.036093
36.4381400000,0.246083,-0.012835,0.191942,-0.038956
36.4522600000,0.262998,-0.013038,0.191625,-0.039500
36.4664900000,0.267368,-0.015639,0.191268,-0.039719
36.4811900000,0.274692,-0.019110,0.190750,-0.040246
36.4955300000,0.280486,-0.019674,0.190426,-0.040718
36.5112800000,0.285043,-0.020564,0.190382,-0.040835
36.5239200000,0.289524,-0.021985,0.210608,-0.040033
36.5380200000,0.298389,-0.022246,0.245917,-0.014630
36.5523600000,0.304850,-0.022219,0.246652,-0.014923
36.5666800000,0.305253,-0.022355,0.248961,-0.015311
36.5807800000,0.307039,-0.021500,0.254821,-0.018007
36.5950500000,0.307578,-0.021435,0.256588,-0.018874
36.6100800000,0.309191,-0.021676,0.260067,-0.019711
36.6237500000,0.327817,-0.028199,0.268416,-0.022874
36.6387600000,0.336069,-0.027012,0.262134,-0.019288
36.6522900000,0.335355,-0.026290,0.261478,-0.019045
36.6665100000,0.333239,-0.025501,0.259421,-0.019079
36.6807900000,0.333139,-0.025404,0.259325,-0.019253
36.6951800000,0.333452,-0.025667,0.261480,-0.020024
36.7098000000,0.333922,-0.026086,0.264568,-0.020396
36.7237100000,0.335139,-0.026039,0.267354,-0.020868
36.7378800000,0.336916,-0.026240,0.267787,-0.021086
36.7521900000,0.338817,-0.025961,0.269057,-0.021485
36.7666000000,0.339438,-0.025798,0.270013,-0.021817
36.7813100000,0.341209,-0.025670,0.275724,-0.022278
36.7952100000,0.342870,-0.025906,0.280310,-0.022888
36.8100100000,0.350344,-0.025284,0.290523,-0.024968
36.8238900000,0.354140,-0.024953,0.296703,-0.022840
36.8379200000,0.361586,-0.026914,0.305577,-0.021578
36.8522100000,0.369325,-0.033490,0.310791,-0.021419
36.8664700000,0.371700,-0.035262,0.311593,-0.021894
36.8808300000,0.373242,-0.035701,0.303691,-0.041636
36.8951800000,0.374221,-0.035719,0.303062,-0.044137
36.9100000000,0.374221,-0.035719,0.303062,-0.044137
36.9236400000,0.375755,-0.035324,0.303547,-0.045791
36.9379100000,0.378642,-0.034747,0.304305,-0.046817
36.9522700000,0.380943,-0.034544,0.306222,-0.045449
36.9669300000,0.384978,-0.034200,0.310519,-0.045289
36.9808300000,0.388164,-0.033948,0.314372,-0.048761
36.9950900000,0.389813,-0.033663,0.315871,-0.049487
37.0102700000,0.392053,-0.033339,0.317875,-0.050240
37.0236200000,0.393646,-0.033349,0.319276,-0.050474
37.0388300000,0.394126,-0.033281,0.319808,-0.050463
37.0522100000,0.394962,-0.033409,0.320939,-0.050389
37.0665500000,0.439517,-0.027211,0.370551,-0.031668
37.0808800000,0.346528,-0.022509,0.320681,-0.022832
37.0951800000,0.286357,-0.004583,0.219048,-0.009022
37.1100400000,0.286070,-0.004715,0.218503,-0.008551
37.1237300000,0.286152,-0.004540,0.218271,-0.008319
37.1379200000,0.286463,-0.003920,0.207467,-0.030367
37.1524500000,0.287331,-0.003328,0.215487,-0.020125
37.1678100000,0.287316,-0.003412,0.217228,-0.019335
37.1809200000,0.272256,-0.004351,0.213441,-0.037351
37.1955100000,0.268339,-0.007559,0.187718,-0.048202
37.2099700000,0.258688,-0.007700,0.171396,-0.050081
37.2238000000,0.254188,-0.009436,0.167828,-0.049498
37.2381100000,0.248601,-0.012828,0.162334,-0.048632
37.2521300000,0.242343,-0.016158,0.162412,-0.048245
37.2664400000,0.223385,-0.014946,0.162695,-0.048056
37.2809100000,0.214844,-0.014793,0.163949,-0.047042
37.2951400000,0.211780,-0.015566,0.106026,-0.051499
37.3102200000,0.210245,-0.015951,0.106115,-0.051473
37.3238600000,0.199785,-0.018032,0.106022,-0.050612
37.3378900000,0.194010,-0.020236,0.099510,-0.042648
37.3523100000,0.175569,-0.018732,0.099149,-0.040747
37.3668900000,0.172824,-0.019816,0.095419,-0.036270
37.3807200000,0.165222,-0.021365,0.089384,-0.029249
37.3950600000,0.142381,-0.015567,0.084260,-0.025106
37.4102800000,0.093103,-0.010339,0.062476,-0.020270
37.4236100000,0.091076,-0.010753,0.059431,-0.018520
37.4408800000,0.087054,-0.011790,0.049221,-0.020158
37.4523600000,0.078584,-0.012505,0.040775,-0.018565
37.4669600000,0.064504,-0.006875,0.039546,-0.017482
37.4809400000,0.055961,-0.011595,0.036772,-0.016596
37.4952400000,0.045246,-0.008636,0.028012,-0.012435
37.5102800000,0.042336,-0.007379,0.018831,-0.010557
37.5237400000,0.041276,-0.007155,0.017809,-0.010145
37.5381000000,0.035527,-0.006332,0.016366,-0.010692
37.5522300000,0.021557,-0.006219,-0.002764,-0.005394
37.5670900000,0.019074,-0.005643,-0.004267,-0.004438
37.5807600000,0.012095,-0.003494,-0.004005,-0.004189
37.5953400000,0.006554,-0.004235,-0.002923,-0.003688
37.6103500000,0.002954,-0.005860,-0.001893,-0.002972
37.6239200000,-0.010232,-0.006556,-0.001538,-0.002892
37.6378200000,-0.018454,0.000994,-0.049519,-0.001218
37.6522400000,-0.032555,0.003838,-0.061950,-0.004217
37.6664700000,-0.035078,0.004532,-0.063154,-0.005471
37.6809200000,-0.039526,0.009767,-0.063989,-0.006060
37.6958800000,-0.064183,0.010987,-0.073175,-0.008267
37.7111200000,-0.064358,0.011229,-0.092621,-0.012723
37.7238900000,-0.064078,0.011257,-0.094518,-0.012613
37.7381100000,-0.063322,0.009750,-0.101406,-0.011922
37.7521900000,-0.071147,0.018571,-0.122830,-0.018928
37.7676200000,-0.078102,0.024658,-0.129923,-0.018864
37.7808300000,-0.097631,0.009929,-0.141587,-0.016976
37.7951700000,-0.097128,-0.000984,-0.159240,-0.014657
37.8102600000,-0.097024,-0.004509,-0.162921,-0.011860
37.8235800000,-0.096713,-0.001298,-0.168340,-0.007835
37.8388600000,-0.098634,-0.001644,-0.169962,-0.006430
37.8522900000,-0.101464,-0.003726,-0.182244,-0.002760
37.8665400000,-0.106359,-0.002035,-0.194606,-0.000992
37.8808400000,-0.083788,0.010570,-0.239071,0.034111
37.8952100000,-0.210686,0.015997,-0.258610,0.050535
37.9104400000,-0.207829,0.017359,-0.261756,0.051207
37.9237700000,-0.204878,0.020002,-0.264772,0.050703
37.9378500000,-0.203866,0.020729,-0.270857,0.048776
37.9526300000,-0.202615,0.021718,-0.274116,0.046277
37.9689100000,-0.202221,0.021782,-0.272729,0.048322
37.9821100000,-0.204489,0.019938,-0.273113,0.049734
37.9950600000,-0.214196,0.015051,-0.290976,0.048426
38.0114700000,-0.218813,0.012881,-0.290228,0.048687
38.0237600000,-0.226651,0.010331,-0.292482,0.048694
38.0380500000,-0.228676,0.009439,-0.296917,0.047721
38.0520900000,-0.235556,0.009262,-0.300252,0.049971
38.0664900000,-0.255715,0.023814,-0.304841,0.049712
38.0809400000,-0.260829,0.025000,-0.302977,0.052784
38.0950900000,-0.266672,0.024289,-0.303087,0.053026
38.1111100000,-0.270129,0.023573,-0.303664,0.053164
38.1240400000,-0.274000,0.023807,-0.311474,0.053065
38.1379600000,-0.276576,0.024259,-0.321993,0.050454
38.1522900000,-0.280239,0.024418,-0.331133,0.055517
38.1670000000,-0.280517,0.024757,-0.328580,0.063004
38.1811300000,-0.293462,0.031067,-0.335618,0.065425
38.1950100000,-0.302029,0.035037,-0.336526,0.067415
38.2104500000,-0.307710,0.037945,-0.341282,0.070041
38.2262200000,-0.313278,0.038585,-0.340331,0.074601
38.2389900000,-0.315967,0.038357,-0.339134,0.080782
38.2527800000,-0.316054,0.038385,-0.339878,0.082665
38.2668800000,-0.316331,0.038468,-0.353674,0.081494
38.2807500000,-0.316792,0.036994,-0.352685,0.084955
38.2950700000,-0.317179,0.036396,-0.352783,0.088552
38.3110000000,-0.319796,0.035329,-0.355187,0.091069
38.3237000000,-0.323307,0.035176,-0.358148,0.091687
38.3380500000,-0.325359,0.035267,-0.358679,0.091655
38.3530100000,-0.323584,0.030236,-0.362171,0.089428
38.3664900000,-0.329470,0.030473,-0.365418,0.086931
38.3810100000,-0.332384,0.029621,-0.366696,0.085964
38.3952600000,-0.336441,0.029870,-0.368858,0.084760
38.4094900000,-0.340429,0.030532,-0.370348,0.084088
38.4237100000,-0.342267,0.031058,-0.371034,0.083702
38.4378100000,-0.345406,0.032404,-0.369872,0.084589
38.4523500000,-0.347650,0.033618,-0.368278,0.085355
38.4665500000,-0.348699,0.034234,-0.369375,0.084966
38.4808000000,-0.349955,0.035208,-0.368382,0.085253
38.4969600000,-0.351213,0.036283,-0.370901,0.083752
38.5116400000,-0.351894,0.036702,-0.368273,0.084733
38.5243900000,-0.352536,0.037243,-0.367999,0.084839
38.5380000000,-0.352815,0.037529,-0.370003,0.083205
38.5523400000,-0.352959,0.037680,-0.392677,0.061074
38.5669600000,-0.352947,0.037753,-0.393790,0.056645
38.5807300000,-0.352862,0.037709,-0.391936,0.054372
38.5953500000,-0.352718,0.037559,-0.379314,0.051875
38.6095000000,-0.331496,0.011533,-0.344198,0.062811
38.6238900000,-0.329852,0.010160,-0.343626,0.063179
38.6387700000,-0.329151,0.009680,-0.343274,0.063968
38.6521600000,-0.325656,0.009249,-0.341098,0.068341
38.6666500000,-0.326733,0.016848,-0.341410,0.068243
38.6825100000,-0.325744,0.019085,-0.342687,0.068041
38.6952600000,-0.298864,0.007326,-0.337329,0.068048
38.7093000000,-0.297478,0.009406,-0.327536,0.070002
38.7237100000,-0.275033,0.003370,-0.327643,0.069961
38.7379100000,-0.273386,0.001562,-0.326359,0.070298
38.7529900000,-0.267810,0.001005,-0.307983,0.075953
38.7665100000,-0.267504,0.005651,-0.308117,0.075726
38.7807700000,-0.266524,0.015447,-0.306249,0.075039
38.7950400000,-0.267273,0.021267,-0.304071,0.071105
38.8093900000,-0.260798,0.021731,-0.304811,0.068647
38.8238800000,-0.258238,0.021968,-0.292563,0.066867
38.8378000000,-0.257584,0.022223,-0.290304,0.065840
38.8521800000,-0.253183,0.020374,-0.288570,0.065809
38.8665600000,-0.197479,-0.012335,-0.270436,0.063741
38.8815000000,-0.195481,-0.011873,-0.271428,0.062979
38.8954700000,-0.191096,-0.010190,-0.267184,0.063648
38.9122400000,-0.191228,-0.010094,-0.265742,0.062617
38.9235800000,-0.191531,-0.010414,-0.261027,0.058586
38.9380300000,-0.189535,-0.011022,-0.252194,0.043897
38.9540200000,-0.171389,-0.001670,-0.249148,0.041141
38.9676000000,-0.166721,-0.003098,-0.245820,0.033567
38.9813000000,-0.159086,-0.008447,-0.242867,0.027657
38.9955600000,-0.145514,-0.010153,-0.240697,0.024925
39.0092600000,-0.139058,-0.008583,-0.234646,0.019015
39.0240900000,-0.138452,-0.011282,-0.226909,0.014931
39.0387400000,-0.137836,-0.012043,-0.222136,0.012604
39.0522400000,-0.127616,-0.018754,-0.212745,0.008623
39.0665200000,-0.120108,-0.020145,-0.206696,0.006303
39.0807600000,-0.114749,-0.021007,-0.194110,0.002815
39.0955800000,-0.108373,-0.016918,-0.180307,-0.001638
39.1092600000,-0.092185,-0.021770,-0.170814,-0.002127
39.1238900000,-0.030492,-0.030163,-0.088643,-0.001546
39.1379400000,-0.031184,-0.029671,-0.081089,-0.002163
39.1523100000,-0.032105,-0.027531,-0.075711,-0.002574
39.1665300000,-0.032442,-0.027365,-0.075601,-0.002693
39.1808400000,-0.032182,-0.017615,-0.076430,-0.003130
39.1954000000,-0.032518,-0.014468,-0.077681,-0.004222
39.2092800000,-0.031009,-0.012117,-0.078693,-0.004808
39.2238800000,-0.029471,-0.011243,-0.050209,-0.005109
39.2378000000,-0.020901,-0.007880,-0.030358,-0.007317
39.2520900000,-0.014074,-0.005381,-0.026145,-0.003865
39.2664400000,-0.008022,-0.006083,-0.022932,-0.004272
39.2810500000,-0.004591,-0.007090,-0.013819,-0.005161
39.2956800000,-0.000154,-0.008779,-0.007001,-0.004434
39.3094400000,0.003002,-0.008226,-0.005296,-0.004900
39.3244200000,0.008782,-0.008255,-0.000726,-0.003523
39.3379400000,0.025964,-0.008274,0.007239,0.000009
39.3526200000,0.028647,-0.007244,0.013434,0.000814
39.3669500000,0.051525,-0.008555,0.018296,-0.000360
39.3807400000,0.066306,-0.009320,0.026128,-0.001654
39.3954400000,0.070003,-0.009065,0.032219,-0.002055
39.4093200000,0.077656,-0.011233,0.037489,-0.000695
39.4236200000,0.086362,-0.012001,0.042701,0.000926
39.4390000000,0.092797,-0.014229,0.044996,0.001372
39.4521000000,0.101556,-0.011880,0.048945,0.001599
39.4664200000,0.102610,-0.013998,0.053994,0.001412
39.4809100000,0.104207,-0.018868,0.061931,0.000962
39.4952200000,0.146770,-0.026480,0.070903,-0.002748
39.5092600000,0.146527,-0.026104,0.077579,-0.007725
39.5236100000,0.149255,-0.024778,0.082412,-0.011053
39.5378000000,0.158645,-0.019355,0.083248,-0.011152
39.5525400000,0.174169,-0.014426,0.092320,-0.007770
39.5664600000,0.177677,-0.013736,0.101999,-0.009635
39.5809000000,0.181747,-0.014063,0.107252,-0.014528
39.5956900000,0.199765,-0.013435,0.117465,-0.016935
39.6093400000,0.208128,-0.012614,0.120212,-0.016109
39.6236400000,0.211202,-0.012463,0.147010,-0.025275
39.6377900000,0.221533,-0.009035,0.146221,-0.023493
39.6521300000,0.225029,-0.007317,0.157941,-0.030339
39.6664200000,0.242263,-0.005225,0.166458,-0.031418
39.6819800000,0.247400,-0.009065,0.166459,-0.031811
39.6953100000,0.250894,-0.012342,0.165898,-0.031911
39.7099700000,0.253285,-0.013946,0.165723,-0.031954
39.7235200000,0.262161,-0.017397,0.172260,-0.033890
39.7381100000,0.264218,-0.017883,0.187971,-0.031825
39.7522100000,0.265618,-0.017833,0.191537,-0.033841
39.7666400000,0.274276,-0.019908,0.200203,-0.037676
39.7810000000,0.280517,-0.022130,0.201691,-0.036397
39.7954900000,0.286957,-0.022477,0.204095,-0.035773
39.8093300000,0.288303,-0.022895,0.209398,-0.033265
39.8241500000,0.292371,-0.023559,0.238396,-0.020084
39.8386800000,0.295363,-0.025032,0.239431,-0.019391
39.8521500000,0.296709,-0.023265,0.241596,-0.017474
39.8663700000,0.306876,-0.025455,0.250030,-0.013058
39.8807800000,0.315301,-0.025209,0.254095,-0.014235
39.8957300000,0.318198,-0.024809,0.252467,-0.034182
39.9092200000,0.321467,-0.025820,0.253534,-0.038590
39.9236600000,0.326009,-0.030140,0.254658,-0.039174
39.9378900000,0.328821,-0.030898,0.261363,-0.040697
39.9525500000,0.332268,-0.032251,0.284011,-0.028215
39.9664700000,0.332268,-0.032251,0.284011,-0.028215
39.9815900000,0.338511,-0.034561,0.287806,-0.025549
39.9955500000,0.342167,-0.035286,0.289348,-0.024113
40.0093000000,0.347469,-0.035964,0.291464,-0.024182
40.0238600000,0.355680,-0.034118,0.294120,-0.023846
40.0378800000,0.359500,-0.032946,0.297290,-0.022579
40.0520000000,0.361564,-0.032075,0.301057,-0.020739
40.0666000000,0.363722,-0.031628,0.302907,-0.020260
40.0808800000,0.367572,-0.031230,0.305976,-0.020164
40.0984700000,0.368679,-0.030706,0.309235,-0.020444
40.1098800000,0.369377,-0.030470,0.310199,-0.020546
40.1236100000,0.370613,-0.030340,0.311316,-0.020855
40.1379700000,0.375191,-0.032145,0.314084,-0.021586
40.1521700000,0.378408,-0.033722,0.315367,-0.022471
40.1669500000,0.380338,-0.034857,0.314613,-0.037194
40.1808000000,0.382343,-0.035752,0.309204,-0.046494
40.1955000000,0.383601,-0.036415,0.319612,-0.035163
40.2092800000,0.384811,-0.036702,0.320194,-0.035887
40.2238500000,0.385524,-0.036495,0.323292,-0.031667
40.2387100000,0.388761,-0.035068,0.326054,-0.029880
40.2521700000,0.421809,-0.030584,0.342206,-0.027587
40.2669700000,0.291830,-0.011838,0.221237,-0.011504
40.2810100000,0.292225,-0.011038,0.208415,-0.024576
40.2958100000,0.292477,-0.010650,0.206879,-0.018763
40.3091800000,0.293196,-0.010034,0.206751,-0.017745
40.3235600000,0.293306,-0.009589,0.188115,-0.040580
40.3378100000,0.292843,-0.007849,0.188450,-0.041166
40.3538400000,0.286308,-0.007125,0.188658,-0.041611
40.3664900000,0.282636,-0.006656,0.188368,-0.041716
40.3808700000,0.265258,-0.008395,0.185865,-0.041164
40.3960000000,0.265697,-0.008159,0.175702,-0.040944
40.4093200000,0.266064,-0.008086,0.152665,-0.037991
40.4236900000,0.247066,0.000093,0.146360,-0.037451
40.4377800000,0.236310,0.000469,0.142471,-0.035870
40.4520400000,0.231312,0.001114,0.129980,-0.036182
40.4665000000,0.228815,0.001933,0.128347,-0.035876
40.4811100000,0.225430,0.001033,0.126132,-0.034487
40.4995300000,0.217216,-0.001957,0.121689,-0.031131
40.5096500000,0.212771,-0.003214,0.120053,-0.030727
40.5236900000,0.203195,-0.004697,0.105207,-0.026009
40.5378500000,0.194197,-0.003642,0.104300,-0.025068
40.5523000000,0.186686,-0.000507,0.104194,-0.025010
40.5669400000,0.175155,0.001522,0.105262,-0.026249
40.5808900000,0.157014,-0.005644,0.100869,-0.026098
40.5957600000,0.156735,-0.005554,0.091678,-0.021943
40.6092300000,0.156861,-0.005349,0.084263,-0.017869
40.6239100000,0.152684,-0.004863,0.078251,-0.015447
40.6379300000,0.133308,0.000493,0.075042,-0.013716
40.6525300000,0.130663,0.000109,0.074347,-0.013144
40.6665500000,0.113924,0.001262,0.070587,-0.011025
