frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
24.84417000000,0.303580,0.139927,0.269760,0.131309
24.8578400000,0.299744,0.139307,0.265788,0.132671
24.8721300000,0.291365,0.137620,0.261781,0.133840
24.8861400000,0.285680,0.135181,0.256618,0.136159
24.9008900000,0.281424,0.133959,0.239186,0.136866
24.9154100000,0.268293,0.134090,0.237238,0.136281
24.9291700000,0.261652,0.134237,0.230102,0.135493
24.9440000000,0.251991,0.131161,0.210250,0.136545
24.9575700000,0.250892,0.131456,0.204523,0.136337
24.9719000000,0.246422,0.134659,0.204013,0.136087
24.9861600000,0.234331,0.134420,0.203607,0.136019
25.0009500000,0.222491,0.134599,0.202536,0.136134
25.0150500000,0.220095,0.133724,0.191052,0.130091
25.0292200000,0.173392,0.150865,0.172214,0.128683
25.0444500000,0.162242,0.143880,0.158949,0.121471
25.0591000000,0.151396,0.134272,0.152986,0.120308
25.0740000000,0.143459,0.131752,0.150121,0.120553
25.0862500000,0.129152,0.121355,0.143802,0.121481
25.1004100000,0.126624,0.118987,0.137334,0.123431
25.1147700000,0.119266,0.116541,0.131078,0.124234
25.1290200000,0.112981,0.117690,0.106296,0.115428
25.1441600000,0.112981,0.117690,0.106296,0.115428
25.1584100000,0.102844,0.114885,0.102259,0.116196
25.1721400000,0.096560,0.110980,0.093019,0.121292
25.1872300000,0.095433,0.111220,0.083134,0.122966
25.2016100000,0.087458,0.111148,0.075030,0.123070
25.2147200000,0.081028,0.110304,0.074793,0.123375
25.2289900000,0.074224,0.113669,0.074408,0.124127
25.2440700000,0.059287,0.112498,0.067704,0.123968
25.2575900000,0.057246,0.111720,0.050246,0.130716
25.2720200000,0.054848,0.109454,0.036800,0.163514
25.2863900000,0.050303,0.109507,0.032075,0.141344
25.3008200000,0.044239,0.105615,0.032364,0.140022
25.3148700000,0.040992,0.105328,0.032395,0.140212
25.3295800000,0.038031,0.103948,0.017005,0.157088
25.3439600000,0.028925,0.116997,0.013628,0.158541
25.3576600000,0.025200,0.112231,0.009773,0.158856
25.3718800000,0.014436,0.099061,-0.004023,0.132255
25.3862000000,-0.014610,0.136069,-0.003809,0.132650
25.4006500000,-0.014610,0.136069,-0.003809,0.132650
25.4147000000,-0.015712,0.136643,-0.003406,0.139894
25.4294500000,-0.019690,0.133202,-0.006631,0.150847
25.4434700000,-0.031567,0.137763,-0.008175,0.152252
25.4588900000,-0.041050,0.118127,-0.010870,0.154332
25.4749600000,-0.044421,0.117976,-0.013201,0.156434
25.4862100000,-0.045887,0.104644,-0.030772,0.149732
25.5004500000,-0.046781,0.103455,-0.039332,0.147361
25.5149300000,-0.047159,0.102968,-0.047009,0.145434
25.5291200000,-0.064243,0.114129,-0.050652,0.144742
25.5434200000,-0.067546,0.115620,-0.090459,0.162623
25.5582200000,-0.076216,0.115902,-0.093953,0.159387
25.5720500000,-0.083071,0.116239,-0.094991,0.155177
25.5876000000,-0.090617,0.116845,-0.094270,0.150494
25.6016700000,-0.094363,0.114460,-0.120491,0.162196
25.6147700000,-0.096370,0.113861,-0.108788,0.155364
25.6290000000,-0.098372,0.113088,-0.114233,0.164855
25.6434400000,-0.105977,0.110993,-0.117982,0.170163
25.6575500000,-0.105977,0.110993,-0.117982,0.170163
25.6719800000,-0.116445,0.111596,-0.122264,0.171250
25.6861900000,-0.118568,0.111560,-0.144163,0.163613
25.7011400000,-0.123030,0.112391,-0.140423,0.147256
25.7149300000,-0.130009,0.108275,-0.163021,0.157639
25.7300700000,-0.140687,0.111111,-0.171779,0.163127
25.7432800000,-0.203948,0.115737,-0.222789,0.178276
25.7575500000,-0.208053,0.119274,-0.222923,0.178408
25.7718100000,-0.210565,0.120383,-0.230424,0.179946
25.7862700000,-0.213033,0.125242,-0.235908,0.178237
25.8004400000,-0.213953,0.127497,-0.237688,0.178313
25.8148800000,-0.217486,0.147275,-0.241538,0.179580
25.8303200000,-0.218637,0.157816,-0.242798,0.180098
25.8436100000,-0.220599,0.160860,-0.245532,0.181513
25.8589200000,-0.231018,0.163170,-0.263546,0.188012
25.8718500000,-0.323737,0.168693,-0.137910,0.161052
25.8862200000,-0.049387,0.149885,-0.029904,0.147238
25.9004200000,-0.046111,0.151067,-0.024275,0.163509
25.9148100000,-0.044856,0.151315,-0.022368,0.167460
25.9291000000,-0.044141,0.151315,-0.020788,0.169267
25.9435100000,-0.038797,0.148186,-0.006533,0.170296
25.9575600000,0.009764,0.116912,0.001719,0.172224
25.9719500000,0.006995,0.131100,0.001821,0.172267
25.9872800000,0.006946,0.132437,0.001631,0.172115
26.0009900000,0.007012,0.132649,0.001344,0.171937
26.0148200000,0.017765,0.115059,0.000997,0.171746
26.0291500000,0.019051,0.113821,0.001727,0.171349
26.0433300000,0.024974,0.114185,0.035629,0.153757
26.0576600000,0.042353,0.120361,0.035737,0.149154
26.0721000000,0.042627,0.119800,0.035735,0.149196
26.0861400000,0.042820,0.119411,0.035740,0.149540
26.1014400000,0.055990,0.118316,0.035706,0.149070
26.1169000000,0.057928,0.115360,0.040913,0.142604
26.1302100000,0.065313,0.123352,0.053831,0.133639
26.1432800000,0.136680,0.132659,0.141450,0.152750
26.1575800000,0.182204,0.133081,0.164974,0.154259
26.1717600000,0.206623,0.134581,0.211072,0.166398
26.1863100000,0.232318,0.135281,0.233630,0.171906
26.2005200000,0.244082,0.135096,0.236411,0.173991
26.2151600000,0.253359,0.131263,0.238464,0.175093
26.2296000000,0.265204,0.130600,0.243362,0.176332
26.2432900000,0.267854,0.131398,0.258060,0.179940
26.2587800000,0.274922,0.133733,0.263754,0.177797
26.2729300000,0.283735,0.136526,0.266191,0.176518
26.2862000000,0.287390,0.137862,0.268664,0.175117
26.3004600000,0.294031,0.138894,0.275011,0.173650
26.3148400000,0.296845,0.139759,0.282698,0.174264
26.3294100000,0.299195,0.140100,0.287827,0.172063
26.3433600000,0.299195,0.140100,0.287827,0.172063
26.3575800000,0.308232,0.141475,0.294427,0.167083
26.3721000000,0.315173,0.142209,0.296245,0.165455
26.3869800000,0.320295,0.142843,0.300410,0.165330
26.4014200000,0.322861,0.143269,0.309336,0.163209
26.4146700000,0.328062,0.142318,0.321779,0.158361
26.4295500000,0.333475,0.142139,0.322175,0.158983
26.4432700000,0.384633,0.187259,0.323405,0.160883
26.4577100000,0.357738,0.156075,0.326398,0.158932
26.4720700000,0.382503,0.187088,0.327645,0.158228
26.4861900000,0.387778,0.197222,0.334597,0.155105
26.5008700000,0.377558,0.164154,0.341874,0.155359
26.5149000000,0.377550,0.164018,0.366897,0.172609
26.5355500000,0.377425,0.163965,0.366315,0.170416
26.5432500000,0.377488,0.163998,0.366129,0.169579
26.5575600000,0.379307,0.163938,0.366719,0.167591
26.5718400000,0.385395,0.162258,0.373022,0.164692
26.5861200000,0.390456,0.160654,0.380042,0.161659
26.6004000000,0.391149,0.160106,0.379566,0.155671
26.6153500000,0.396808,0.156839,0.386312,0.152800
26.6301000000,0.405753,0.151996,0.389115,0.148198
26.6433200000,0.407876,0.151659,0.391899,0.147558
26.6588900000,0.411068,0.150057,0.396753,0.147212
26.6732900000,0.412312,0.149171,0.399582,0.148338
26.6861300000,0.425208,0.145203,0.406512,0.149101
26.7004600000,0.426903,0.143210,0.408701,0.149575
26.7146000000,0.428270,0.140765,0.411238,0.144764
26.7291800000,0.428566,0.140071,0.412136,0.141471
26.7438400000,0.429034,0.137638,0.404847,0.120385
26.7576000000,0.429479,0.135577,0.403650,0.117510
26.7721900000,0.429243,0.134899,0.423979,0.137672
26.7865100000,0.427817,0.133711,0.427213,0.139315
26.8010800000,0.426146,0.130428,0.428179,0.134622
26.8148300000,0.425778,0.128380,0.427922,0.130578
26.8295200000,0.426111,0.124810,0.428800,0.126540
26.8432100000,0.426148,0.124741,0.429999,0.124507
26.8576300000,0.426800,0.124784,0.432790,0.121069
26.8719700000,0.426800,0.124784,0.432790,0.121069
26.8862300000,0.427151,0.125288,0.438489,0.117375
26.9005800000,0.427555,0.126898,0.444157,0.115395
26.9155400000,0.427794,0.129772,0.449684,0.114073
26.9311000000,0.428491,0.130156,0.451778,0.113427
26.9432700000,0.436650,0.122673,0.454328,0.112519
26.9577000000,0.442171,0.132740,0.458541,0.111516
26.9717900000,0.442025,0.132703,0.463366,0.110414
26.9862400000,0.441824,0.132568,0.467302,0.109737
27.0005600000,0.441747,0.132500,0.469091,0.109490
27.0147600000,0.441615,0.132493,0.470901,0.109242
27.0299200000,0.441825,0.132391,0.475935,0.108343
27.0432600000,0.482678,0.133853,0.480072,0.107534
27.0586100000,0.457761,0.127261,0.483983,0.107153
27.0718300000,0.456656,0.128572,0.488138,0.106472
27.0862800000,0.472384,0.136150,0.490411,0.105855
27.1003800000,0.554100,0.118890,0.493716,0.105042
27.1147700000,0.563776,0.136132,0.496921,0.104516
27.1293200000,0.566044,0.139242,0.498490,0.104206
27.1433700000,0.569696,0.141623,0.501582,0.103593
27.1575600000,0.572216,0.141777,0.504816,0.102930
27.1721700000,0.573709,0.140842,0.507952,0.102176
27.1869000000,0.574547,0.139805,0.509634,0.101660
27.2009800000,0.575813,0.138680,0.513140,0.100306
27.2146800000,0.576137,0.138339,0.514604,0.099898
27.2294500000,0.577019,0.137876,0.516153,0.099463
27.2432700000,0.579606,0.137039,0.518800,0.098770
27.2577100000,0.581449,0.136293,0.521010,0.098351
27.2723000000,0.582442,0.136111,0.521952,0.098253
27.2861600000,0.583800,0.136032,0.523747,0.097920
27.3014100000,0.586788,0.136002,0.525360,0.097476
27.3153900000,0.589737,0.136128,0.527167,0.096933
27.3315500000,0.601184,0.139815,0.539321,0.094496
27.3436000000,0.614161,0.142983,0.545771,0.091865
27.3575900000,0.616133,0.143270,0.548728,0.092031
27.3717100000,0.617675,0.143279,0.552622,0.092819
27.3862400000,0.622530,0.141108,0.554844,0.093561
27.4004600000,0.624053,0.140357,0.555580,0.093857
27.4147900000,0.626602,0.139176,0.556513,0.094385
27.4299000000,0.627833,0.138256,0.557008,0.094769
27.4435700000,0.628174,0.137817,0.557935,0.095228
27.4604500000,0.629203,0.138198,0.557992,0.095403
27.4732000000,0.563562,0.143908,0.501982,0.103394
27.4863200000,0.562268,0.143140,0.501574,0.103306
27.5004500000,0.560538,0.140974,0.499455,0.103314
27.5148500000,0.560380,0.139484,0.494919,0.103737
27.5294400000,0.560587,0.136812,0.491893,0.103758
27.5433300000,0.559277,0.135095,0.489367,0.103840
27.5574800000,0.538301,0.130944,0.482695,0.103755
27.5730200000,0.477684,0.121158,0.472223,0.106200
27.5869400000,0.467132,0.115490,0.464308,0.106827
27.6014600000,0.420703,0.104031,0.452793,0.109514
27.6146800000,0.416275,0.101811,0.453053,0.125005
27.6298700000,0.413249,0.103714,0.452228,0.126266
27.6432000000,0.408570,0.105338,0.444603,0.132906
27.6577100000,0.407870,0.105614,0.442899,0.133664
27.6718000000,0.400666,0.106972,0.438759,0.133566
27.6860900000,0.396567,0.105377,0.432745,0.128873
27.7008600000,0.395671,0.104020,0.408048,0.108321
27.7148100000,0.395677,0.103759,0.408092,0.109389
27.7319600000,0.395719,0.103951,0.403931,0.115789
27.7439900000,0.396151,0.104096,0.400827,0.116209
27.7575800000,0.395806,0.104226,0.397161,0.116695
27.7718400000,0.380904,0.107421,0.390925,0.118740
27.7863600000,0.380902,0.108575,0.387455,0.119696
27.8003900000,0.381512,0.109919,0.386633,0.119502
27.8150100000,0.386314,0.114865,0.378914,0.116643
27.8300400000,0.389307,0.119033,0.365541,0.117641
27.8433900000,0.391271,0.120988,0.362099,0.117000
27.8582200000,0.391328,0.120894,0.361423,0.114908
27.8719000000,0.377368,0.122238,0.352201,0.108935
27.8863000000,0.382314,0.149141,0.349038,0.109353
27.9004300000,0.378619,0.163459,0.336849,0.113894
27.9146800000,0.359507,0.136796,0.326748,0.114825
