frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
8.8825560000,-0.118408,0.075596,-0.142057,0.124689
8.8971740000,-0.119361,0.074637,-0.142425,0.124442
8.9110400000,-0.121784,0.073787,-0.143832,0.122616
8.9251650000,-0.126491,0.074007,-0.150797,0.116398
8.9396640000,-0.176723,0.075747,-0.151264,0.105019
8.9567160000,-0.251160,0.131498,-0.031232,0.101178
8.9682860000,0.160025,0.089230,0.171146,0.109791
8.9824300000,0.159147,0.083914,0.165356,0.107702
8.9977060000,0.160075,0.079555,0.164793,0.107159
9.0108860000,0.160114,0.075762,0.164858,0.107229
9.0251760000,0.162390,0.075362,0.165083,0.106511
9.0396100000,0.158147,0.073689,0.165494,0.106228
9.0537190000,0.122747,0.080859,0.166356,0.105640
9.0683550000,0.116155,0.081507,0.167073,0.104869
9.0826740000,0.114073,0.081591,0.130607,0.099381
9.0991360000,0.112571,0.081433,0.120496,0.093346
9.1108550000,0.098201,0.078956,0.078786,0.077583
9.1251540000,0.094450,0.079093,0.077620,0.077114
9.1395140000,0.079178,0.078717,0.074392,0.076443
9.1538210000,0.075103,0.077631,0.125928,0.110716
9.1681930000,0.088243,0.083185,0.125964,0.110651
9.1823230000,0.093890,0.084671,0.124728,0.110004
9.1974170000,0.110821,0.089593,0.122104,0.107038
9.2109990000,0.112717,0.089551,0.119606,0.103437
9.2260820000,0.112376,0.088699,0.118551,0.101670
9.2395260000,0.112509,0.088902,0.088146,0.082851
9.2537630000,0.112453,0.089055,0.085513,0.084520
9.2681140000,0.102220,0.089874,0.080004,0.086755
9.2824080000,0.081036,0.086235,0.058088,0.136019
9.2972490000,0.080436,0.086224,0.057766,0.135805
9.3109360000,0.062278,0.077090,0.052659,0.130632
9.3251900000,0.061451,0.076826,0.041568,0.121468
9.3401370000,0.061121,0.076988,0.038608,0.119638
9.3550430000,0.059992,0.078978,0.037940,0.111205
9.3693670000,0.039209,0.098127,0.028818,0.080898
9.3826120000,0.036353,0.090960,0.030129,0.087732
9.3974200000,0.025615,0.093046,0.029785,0.093270
9.4109580000,0.022282,0.076815,0.028783,0.097628
9.4251540000,0.019817,0.078413,0.028245,0.099901
9.4396190000,0.019322,0.076405,0.027856,0.100468
9.4540660000,-0.024426,0.097726,-0.066405,0.088168
9.4692530000,-0.039205,0.099289,-0.069022,0.088923
9.4825100000,-0.056690,0.082798,-0.071313,0.089462
9.4991420000,-0.057213,0.082460,-0.074047,0.089302
9.5110150000,-0.057353,0.082299,-0.075729,0.089254
9.5251580000,-0.057506,0.082092,-0.080130,0.088964
9.5394950000,-0.058726,0.081599,-0.085603,0.087899
9.5539760000,-0.064501,0.079064,-0.089371,0.087755
9.5682000000,-0.067003,0.077961,-0.090823,0.087825
9.5826120000,-0.071553,0.076616,-0.093750,0.087443
9.5985250000,-0.075593,0.075851,-0.096277,0.086015
9.6109810000,-0.081018,0.074578,-0.097569,0.085171
9.6261820000,-0.087149,0.073253,-0.099752,0.084905
9.6394520000,-0.089849,0.070847,-0.099532,0.078210
9.6537180000,-0.090505,0.070273,-0.099210,0.077814
9.6680500000,-0.091874,0.068701,-0.114630,0.088061
9.6823520000,-0.093264,0.068464,-0.119400,0.089738
9.6973800000,-0.093264,0.068464,-0.119400,0.089738
9.7111500000,-0.148920,0.070189,-0.170579,0.098833
9.7252490000,-0.168302,0.065405,-0.180615,0.100912
9.7396230000,-0.170341,0.066528,-0.183205,0.100155
9.7547210000,-0.172285,0.069744,-0.186929,0.097872
9.7681900000,-0.174926,0.072204,-0.189672,0.095774
9.7823420000,-0.177432,0.073217,-0.192461,0.093843
9.7970540000,-0.178134,0.073200,-0.193910,0.093001
9.8109870000,-0.179705,0.072442,-0.197216,0.092373
9.8252530000,-0.181091,0.071441,-0.199353,0.092582
9.8395470000,-0.181880,0.070629,-0.199909,0.092944
9.8538150000,-0.182287,0.069923,-0.200452,0.092973
9.8683660000,-0.183542,0.067794,-0.201413,0.093194
9.8827510000,-0.188715,0.062978,-0.210900,0.099538
9.8994670000,-0.083193,0.087055,-0.108458,0.076114
