frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
7.8910370000,0.433749,0.018690,0.474720,0.035398
7.9060770000,0.433490,0.019070,0.480341,0.035264
7.9194730000,0.434184,0.019063,0.482781,0.035337
7.9331960000,0.435441,0.018927,0.484686,0.035240
7.9479540000,0.436143,0.018758,0.485589,0.035276
7.9620770000,0.439899,0.016694,0.487345,0.035401
7.9760170000,0.442340,0.015747,0.489062,0.035609
7.9904890000,0.443218,0.015409,0.489851,0.035604
8.0054080000,0.444614,0.014874,0.491600,0.035552
8.0190940000,0.446260,0.014835,0.492510,0.035411
8.0344710000,0.447779,0.014807,0.493579,0.035208
8.0492300000,0.450317,0.014550,0.495247,0.034583
8.0617720000,0.451333,0.014444,0.495895,0.034282
8.0760510000,0.452300,0.014307,0.496439,0.033907
8.0902740000,0.453469,0.014149,0.497329,0.033305
8.1049320000,0.457332,0.019427,0.495645,0.026124
8.1190010000,0.458253,0.021068,0.496145,0.026273
8.1331340000,0.459077,0.023249,0.497084,0.026521
8.1482310000,0.458594,0.023824,0.506044,0.029059
8.1620050000,0.457250,0.023630,0.462240,0.026733
8.1761740000,0.455153,0.023479,0.491736,0.028307
8.1904880000,0.453573,0.023386,0.491825,0.028270
8.2049200000,0.452157,0.023303,-0.006417,-0.001154
8.2188760000,0.449980,0.023134,0.499799,0.027362
8.2331900000,0.448062,0.022566,0.497549,0.027220
8.2480800000,0.444554,0.020919,0.495071,0.027041
8.2619100000,0.441148,0.018486,0.491172,0.026263
8.2761080000,0.430465,0.013458,0.463775,0.023138
8.2903220000,0.422104,0.009661,0.459596,0.022394
8.3047640000,0.416286,0.008404,0.442346,0.018492
8.3193310000,0.409349,0.006672,-0.005731,-0.002323
8.3331680000,0.385823,-0.003617,0.400144,0.012355
8.3481590000,0.378314,-0.004494,0.399638,0.011520
8.3616940000,0.372127,-0.005611,0.401523,0.009820
8.3760760000,0.365970,-0.006292,0.402040,0.008417
8.3904240000,0.365970,-0.006292,0.402040,0.008417
8.4044520000,0.355652,-0.006766,0.390039,0.001812
8.4190030000,0.347683,-0.008548,0.379869,-0.001337
8.4334880000,0.340452,-0.010616,0.373548,-0.001634
8.4511620000,0.334056,-0.012433,0.363357,-0.000799
8.4621920000,0.331361,-0.013229,0.355450,-0.001592
8.4759920000,0.327732,-0.014098,0.351386,-0.002509
8.4902600000,0.323072,-0.014725,0.347387,-0.001699
8.5045850000,0.321251,-0.014765,0.346561,-0.000483
8.5190280000,0.315893,-0.014797,0.349587,0.003527
8.5331870000,0.300952,-0.013224,0.349512,0.006324
8.5491080000,0.290418,-0.013797,0.337466,0.005399
