frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
6.4033860000,-0.151659,0.225517,-0.092191,0.248909
6.4181460000,-0.158074,0.224304,-0.105993,0.253254
6.4318870000,-0.160740,0.223303,-0.108181,0.254230
6.4468700000,-0.162543,0.222554,-0.110672,0.255802
6.4648000000,-0.165677,0.221471,-0.114306,0.257975
6.4764420000,-0.167235,0.221008,-0.115713,0.258641
6.4913880000,-0.170998,0.219923,-0.118879,0.259478
6.5032920000,-0.175546,0.219036,-0.123760,0.259397
6.5178230000,-0.179291,0.218171,-0.154463,0.242584
6.5318470000,-0.181692,0.217762,-0.155551,0.242075
6.5464150000,-0.186609,0.217149,-0.157276,0.242137
6.5610370000,-0.189706,0.216234,-0.159878,0.242388
6.5752970000,-0.192767,0.215389,-0.161976,0.242545
6.5899450000,-0.195078,0.214653,-0.167694,0.230739
6.6064850000,-0.195915,0.214360,-0.168501,0.228535
6.6185750000,-0.196727,0.214088,-0.169518,0.217744
6.6319560000,-0.197144,0.213997,-0.175447,0.226192
6.6464660000,-0.204535,0.208169,-0.127406,0.273150
6.6610480000,-0.093289,0.228339,-0.119351,0.273136
6.6747220000,-0.092950,0.227061,-0.118446,0.273327
6.6904380000,-0.092719,0.226402,-0.118197,0.273473
6.7035010000,-0.092321,0.225542,-0.117664,0.273852
6.7200170000,-0.093353,0.223853,-0.116834,0.274506
6.7332230000,-0.093748,0.223606,-0.116193,0.274894
6.7475490000,-0.091103,0.222327,-0.109936,0.276068
6.7627600000,-0.074688,0.221338,-0.087561,0.275753
6.7748060000,-0.070924,0.221411,-0.083087,0.275766
6.7891140000,-0.064132,0.223030,-0.075033,0.275886
6.8032050000,-0.055418,0.225853,-0.022169,0.253246
6.8175010000,-0.049292,0.226789,0.008338,0.242322
6.8319310000,-0.043040,0.237142,0.017881,0.236963
6.8478020000,-0.035757,0.246271,0.019937,0.235939
6.8610740000,-0.027972,0.251057,0.020621,0.236247
6.8748360000,-0.025277,0.252507,0.030783,0.237094
6.8894230000,-0.013526,0.255830,0.043046,0.238424
6.9034760000,-0.005289,0.258227,0.047157,0.236010
6.9176140000,0.006262,0.259764,0.051546,0.236110
6.9318050000,0.012740,0.254069,0.064267,0.239509
6.9461180000,0.013891,0.252242,0.066829,0.240224
6.9610250000,0.015847,0.250327,0.073858,0.241667
6.9747660000,0.020001,0.247709,0.077991,0.242586
6.9892550000,0.033925,0.242269,0.089411,0.240340
7.0035350000,0.037040,0.243271,0.094918,0.240466
7.0177210000,0.040284,0.243867,0.099145,0.242982
7.0320110000,0.129859,0.236218,0.149907,0.254674
7.0464480000,0.139502,0.238550,0.168584,0.259459
7.0616310000,0.144343,0.239317,0.168995,0.259042
7.0746920000,0.146963,0.239460,0.168485,0.258444
7.0894200000,0.162345,0.242103,0.175559,0.258434
7.1032600000,0.166330,0.242398,0.192954,0.266252
7.1178460000,0.174053,0.243102,0.195799,0.264227
7.1320990000,0.174053,0.243102,0.195799,0.264227
7.1462930000,0.183290,0.244077,0.198641,0.264782
7.1616220000,0.192225,0.245521,0.206731,0.262968
7.1748960000,0.201090,0.247050,0.219631,0.261613
