frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
45.9426600000,0.332983,-0.159147,0.383119,-0.081834
45.9563100000,0.334533,-0.159581,0.383921,-0.081990
45.9696700000,0.335367,-0.159831,0.384348,-0.082073
45.9840900000,0.337025,-0.160441,0.385438,-0.082426
45.9980200000,0.338362,-0.160968,0.386314,-0.082787
46.0123400000,0.339007,-0.161237,0.386887,-0.083011
46.0266400000,0.340173,-0.161771,0.387965,-0.083468
46.0419800000,0.341430,-0.162312,0.389289,-0.083845
46.0554000000,0.342452,-0.162757,0.390327,-0.084081
46.0703100000,0.342502,-0.162803,0.390396,-0.084096
46.0838900000,0.339373,-0.166334,0.355315,-0.092980
46.0980800000,0.284669,-0.193819,0.274130,-0.104837
46.1130000000,0.285045,-0.195696,0.274286,-0.104784
46.1266700000,0.287205,-0.198325,0.276740,-0.104032
46.1415300000,0.288617,-0.199812,0.276853,-0.103956
46.1552000000,0.289869,-0.200843,0.277007,-0.103878
46.1696100000,0.293311,-0.204921,0.277252,-0.103818
46.1839600000,0.295882,-0.206221,0.277588,-0.103624
46.1983000000,0.296908,-0.206647,0.277808,-0.103457
46.2123700000,0.299148,-0.206495,0.278496,-0.102906
46.2267600000,0.301708,-0.205374,0.279438,-0.102147
46.2422700000,0.303829,-0.203878,0.280558,-0.101300
46.2552300000,0.307393,-0.201286,0.281781,-0.100560
46.2695000000,0.309315,-0.199404,0.282915,-0.099797
46.2838200000,0.309876,-0.198646,0.283421,-0.099294
46.2980600000,0.310806,-0.197583,0.284475,-0.098520
46.3129600000,0.312838,-0.195927,0.286617,-0.097304
46.3267800000,0.312838,-0.195927,0.286617,-0.097304
46.3434300000,0.391659,-0.162123,0.341350,-0.079399
46.3553800000,0.000077,0.000486,0.347914,-0.076822
46.3696500000,0.000065,0.000595,0.349356,-0.075802
46.3838200000,0.398247,-0.159963,0.350176,-0.075009
46.3980000000,0.398265,-0.159860,0.350984,-0.074104
46.4122800000,0.398268,-0.159822,0.351471,-0.073591
46.4266300000,0.398255,-0.159824,0.352658,-0.072541
46.4417300000,0.398280,-0.159803,0.354574,-0.071143
46.4553300000,0.398284,-0.159755,0.356895,-0.070159
46.4709700000,0.398277,-0.159735,0.357813,-0.069871
46.4839600000,0.398276,-0.159664,0.358788,-0.069559
