frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
16.7573900000,0.090898,-0.135589,0.086270,-0.222718
16.7718700000,0.091469,-0.136762,0.101281,-0.200488
16.7857000000,0.082340,-0.176872,0.091160,-0.219727
16.7998700000,0.081516,-0.177079,0.090998,-0.219856
16.8146000000,0.114514,-0.160806,0.160818,-0.188246
16.8290400000,0.133594,-0.133174,0.107064,-0.250411
16.8430800000,0.133594,-0.133174,0.107064,-0.250411
16.8578100000,-0.062159,-0.093361,-0.054281,-0.261282
16.8717400000,-0.064031,-0.091465,-0.067908,-0.170358
16.8859400000,-0.064739,-0.091586,-0.067407,-0.169657
16.9000300000,-0.065838,-0.092504,-0.056335,-0.163037
16.9143000000,-0.080886,-0.144818,-0.045562,-0.253579
16.9288300000,-0.064196,-0.148687,-0.047287,-0.254601
16.9428300000,-0.042252,-0.148378,-0.047684,-0.254963
16.9571200000,-0.004432,-0.156053,-0.017040,-0.201456
16.9718400000,0.011566,-0.158109,-0.014483,-0.207085
16.9867700000,0.032713,-0.146940,-0.012647,-0.208672
17.0004700000,0.044455,-0.138091,-0.010117,-0.210170
17.0143600000,0.046769,-0.140723,0.077020,-0.202059
17.0291500000,0.045846,-0.148065,0.079159,-0.198940
17.0427800000,0.020314,-0.183745,0.081913,-0.197346
17.0571200000,0.017670,-0.184250,0.087959,-0.192702
17.0714900000,0.018254,-0.184193,0.087861,-0.192442
17.0862200000,0.019872,-0.184319,0.087991,-0.192493
17.1000900000,0.021104,-0.184944,0.093743,-0.210524
17.1144600000,0.045267,-0.178252,0.097395,-0.213542
17.1289800000,0.056682,-0.178767,0.104040,-0.218135
17.1453500000,0.068159,-0.177799,0.110147,-0.220918
17.1573200000,0.157112,-0.151126,0.138896,-0.223369
17.1714600000,0.157321,-0.151465,0.161993,-0.225602
17.1856400000,0.195768,-0.174398,0.198140,-0.223487
17.1999200000,0.196959,-0.174103,0.204561,-0.220774
17.2142100000,0.198278,-0.170540,0.210596,-0.218711
17.2289000000,0.199489,-0.168030,0.217052,-0.216575
17.2429200000,0.215582,-0.157196,0.223630,-0.212584
17.2578900000,0.218687,-0.155401,0.225750,-0.211265
17.2717500000,0.262037,-0.132013,0.231560,-0.207480
17.2858800000,0.281655,-0.122327,0.237212,-0.202565
17.3000200000,0.293522,-0.124245,0.241277,-0.199056
17.3145300000,0.297298,-0.124165,0.244729,-0.196263
17.3289900000,0.300440,-0.123956,0.246778,-0.195169
17.3427100000,0.252283,-0.161000,0.249344,-0.194897
17.3571400000,0.252484,-0.163063,0.254242,-0.195194
17.3717500000,0.297046,-0.145115,0.259624,-0.196315
17.3865100000,0.267309,-0.161221,0.262308,-0.196831
17.4000500000,0.276993,-0.160037,0.268384,-0.198558
17.4149800000,0.325261,-0.160927,0.274826,-0.199989
17.4291500000,0.331632,-0.161414,0.281438,-0.201033
17.4430700000,0.336907,-0.161113,0.287342,-0.200521
17.4570100000,0.341348,-0.160296,0.294263,-0.199011
17.4713200000,0.345054,-0.158360,0.297229,-0.197835
17.4859700000,0.351848,-0.154838,0.301750,-0.195928
17.5000700000,0.356802,-0.151410,0.306283,-0.193402
17.5142700000,0.359115,-0.149273,0.308681,-0.191342
17.5299500000,0.360638,-0.148350,0.310463,-0.190407
17.5428400000,0.363688,-0.146892,0.313509,-0.188932
17.5571900000,0.366530,-0.146215,0.316051,-0.188058
17.5717800000,0.369008,-0.146395,0.318826,-0.187609
17.5857100000,0.372759,-0.147068,0.321674,-0.188047
17.5998800000,0.376754,-0.148246,0.324346,-0.188990
17.6141900000,0.378879,-0.149093,0.325766,-0.189843
17.6292200000,0.382966,-0.149913,0.329183,-0.190911
17.6464200000,0.387691,-0.150199,0.332993,-0.192105
17.6597300000,0.389958,-0.149988,0.335305,-0.192803
17.6717100000,0.394365,-0.149717,0.340101,-0.193566
17.6863000000,0.396347,-0.149182,0.342517,-0.193424
17.7001000000,0.400503,-0.146927,0.346981,-0.191880
17.7141800000,0.403616,-0.144589,0.350107,-0.190156
17.7288500000,0.405979,-0.142440,0.352372,-0.188441
17.7427000000,0.407130,-0.141166,0.353500,-0.187331
17.7571400000,0.408832,-0.139440,0.355143,-0.185772
17.7715600000,0.410007,-0.138297,0.356266,-0.184594
17.7861200000,0.410354,-0.138066,0.356607,-0.184316
17.7999800000,0.410686,-0.138037,0.356983,-0.184123
17.8153400000,0.410714,-0.138534,0.356949,-0.184574
17.8291300000,0.410685,-0.139814,0.356865,-0.185746
17.8427100000,0.410638,-0.140756,0.356797,-0.186653
17.8570100000,0.406949,-0.143121,0.354389,-0.188033
17.8713600000,0.330403,-0.161362,0.290134,-0.194928
17.8857400000,0.286156,-0.148417,0.267414,-0.198654
17.9000000000,0.279999,-0.146093,0.001137,-0.000713
17.9148100000,0.276219,-0.145081,0.001278,-0.000613
17.9316500000,0.269634,-0.143073,0.255131,-0.202765
17.9428400000,0.214206,-0.160141,0.255133,-0.202047
17.9577700000,0.214278,-0.158615,0.244547,-0.200637
17.9714700000,0.212536,-0.155669,0.237933,-0.198476
17.9856200000,0.206392,-0.150292,0.228357,-0.198437
17.9999300000,0.205755,-0.150467,0.223310,-0.197641
18.0142200000,0.204799,-0.151255,0.216273,-0.198515
18.0290900000,0.201776,-0.153933,0.212149,-0.199931
18.0430300000,0.197837,-0.144793,0.205724,-0.202307
18.0573300000,0.194982,-0.142795,0.201655,-0.203520
18.0712900000,0.154434,-0.139145,0.190676,-0.206214
18.0857100000,0.149364,-0.139860,0.127373,-0.236279
18.1000000000,0.149626,-0.140743,0.125886,-0.237610
18.1141800000,0.138060,-0.138255,0.122424,-0.238955
18.1292200000,0.122387,-0.141405,0.114230,-0.240046
18.1431100000,0.103000,-0.152283,0.111271,-0.239912
18.1571900000,0.089993,-0.070590,0.105996,-0.239272
18.1717200000,0.086983,-0.067285,0.094441,-0.238304
18.1856500000,0.086983,-0.067285,0.094441,-0.238304
18.2007400000,0.079375,-0.064211,0.084901,-0.237604
18.2142400000,0.069695,-0.161896,0.070157,-0.237100
18.2304100000,0.059060,-0.166379,0.060837,-0.233398
18.2427500000,0.044239,-0.163366,0.048265,-0.220067
18.2570300000,0.029308,-0.163567,0.049964,-0.214202
18.2713200000,0.020709,-0.166306,0.048456,-0.211265
18.2857400000,0.024088,-0.173571,0.043146,-0.208717
18.3000600000,0.023374,-0.175151,0.041121,-0.207996
18.3158800000,0.025389,-0.165825,0.031349,-0.208734
18.3293400000,0.026759,-0.162001,0.025511,-0.209179
18.3429000000,0.022742,-0.160404,-0.023710,-0.252770
18.3581400000,0.015316,-0.159121,-0.024796,-0.254171
18.3714200000,-0.001022,-0.160888,-0.031611,-0.255928
18.3855400000,-0.001116,-0.144968,-0.069517,-0.240314
18.4003300000,-0.059670,-0.124189,-0.065960,-0.244420
18.4143500000,-0.065642,-0.117791,-0.065001,-0.245644
18.4292800000,-0.085975,-0.132292,-0.056740,-0.239468
18.4428900000,-0.084830,-0.134556,-0.054631,-0.230931
18.4577200000,-0.097578,-0.111962,-0.067828,-0.232846
18.4713200000,-0.097091,-0.112964,-0.083328,-0.230524
18.4858000000,-0.121753,-0.118717,-0.093706,-0.227688
18.5000800000,-0.111582,-0.156399,-0.103079,-0.230023
18.5141800000,-0.135467,-0.173234,-0.120402,-0.227785
18.5291300000,-0.138492,-0.175523,-0.122037,-0.228534
18.5427700000,-0.137892,-0.178511,-0.125418,-0.229596
18.5575600000,-0.137776,-0.180385,-0.132408,-0.230986
18.5717300000,-0.138200,-0.181631,-0.136464,-0.231219
18.5858300000,-0.154866,-0.183227,-0.127357,-0.255807
18.6007200000,-0.187374,-0.164266,-0.127383,-0.256076
18.6147400000,-0.187624,-0.165825,-0.129392,-0.256341
18.6288800000,-0.194956,-0.154396,-0.126488,-0.261573
18.6444800000,-0.198169,-0.157477,-0.127023,-0.262905
18.6570900000,-0.200899,-0.160128,-0.128014,-0.265871
18.6715500000,-0.202892,-0.161464,-0.128053,-0.267391
18.6856100000,-0.208658,-0.156964,-0.125591,-0.273475
18.6999500000,-0.213106,-0.157109,-0.124872,-0.276901
18.7152700000,-0.215846,-0.156985,-0.124490,-0.279207
18.7306400000,-0.231790,-0.164515,-0.124994,-0.282345
18.7428500000,-0.239198,-0.169337,-0.129733,-0.286924
18.7572800000,-0.244858,-0.172046,-0.141151,-0.292363
18.7719000000,-0.252892,-0.174426,-0.147572,-0.295052
18.7855800000,-0.259243,-0.175417,-0.163512,-0.295876
18.7999500000,-0.262587,-0.176488,-0.166070,-0.296204
18.8145100000,-0.272727,-0.177027,-0.171780,-0.296014
18.8290700000,-0.279114,-0.176366,-0.178734,-0.295624
18.8437200000,-0.281178,-0.176378,-0.181572,-0.295600
18.8573700000,-0.289024,-0.175967,-0.195376,-0.291193
18.8713900000,-0.293216,-0.175118,-0.225713,-0.250716
18.8861100000,-0.297525,-0.172878,-0.229468,-0.245557
18.9000700000,-0.300924,-0.170816,-0.240236,-0.237494
18.9141600000,-0.310548,-0.168285,-0.249136,-0.232044
18.9283900000,-0.324537,-0.166799,-0.260162,-0.227237
18.9427100000,-0.329954,-0.165352,-0.265481,-0.223682
18.9571400000,-0.336008,-0.164721,-0.278783,-0.218814
18.9717100000,-0.338845,-0.164611,-0.284058,-0.218882
18.9858700000,-0.339867,-0.164613,-0.286747,-0.218832
19.0007500000,-0.342413,-0.164638,-0.294032,-0.218628
19.0149600000,-0.355994,-0.163691,-0.299682,-0.217775
19.0286300000,-0.360072,-0.163527,-0.303047,-0.217372
19.0427200000,-0.377403,-0.159061,-0.326112,-0.211780
19.0571200000,-0.395615,-0.154455,-0.341087,-0.206680
19.0713900000,-0.401408,-0.154013,-0.348253,-0.204165
19.0857000000,-0.404534,-0.154102,-0.350562,-0.203362
19.1000200000,-0.409827,-0.153703,-0.354819,-0.202146
19.1149700000,-0.411754,-0.153385,-0.357551,-0.201636
19.1289700000,-0.417040,-0.152784,-0.362016,-0.201060
19.1428900000,-0.421167,-0.152890,-0.366067,-0.201251
19.1581900000,-0.425117,-0.153300,-0.370718,-0.201569
19.1717800000,-0.428925,-0.153633,-0.374727,-0.201826
19.1855400000,-0.433640,-0.153996,-0.378261,-0.202474
19.1998200000,-0.435752,-0.154088,-0.380069,-0.202792
19.2144600000,-0.437958,-0.154132,-0.381881,-0.202888
19.2284600000,-0.441328,-0.153704,-0.384903,-0.202496
19.2429100000,-0.444385,-0.152894,-0.387610,-0.201457
19.2591500000,-0.445912,-0.152580,-0.388741,-0.200952
19.2712400000,-0.448965,-0.151497,-0.391495,-0.199407
19.2867600000,-0.452028,-0.150314,-0.394449,-0.197543
19.3000000000,-0.454505,-0.148800,-0.397197,-0.195742
19.3147800000,-0.457093,-0.147395,-0.399198,-0.194363
19.3286000000,-0.459718,-0.146527,-0.401085,-0.193256
19.3427000000,-0.460769,-0.146156,-0.401930,-0.192831
19.3571200000,-0.462257,-0.145928,-0.403098,-0.192471
19.3715700000,-0.463050,-0.146090,-0.403701,-0.192559
19.3856800000,-0.463050,-0.146090,-0.403701,-0.192559
19.4006900000,-0.463402,-0.146635,-0.403920,-0.193187
19.4148500000,-0.463517,-0.147022,-0.403966,-0.193694
19.4286500000,-0.463484,-0.147157,-0.403926,-0.193933
19.4428100000,-0.463291,-0.147048,-0.403804,-0.194013
19.4570000000,-0.461930,-0.146764,-0.402283,-0.194553
19.4714300000,-0.459253,-0.147051,-0.400029,-0.195957
19.4856700000,-0.453748,-0.147644,-0.394071,-0.198806
19.5001100000,-0.449786,-0.148026,-0.389911,-0.200433
19.5148200000,-0.447026,-0.148426,-0.387282,-0.201542
19.5303500000,-0.386475,-0.157526,-0.316535,-0.213687
19.5428000000,-0.364206,-0.157947,-0.302825,-0.217250
19.5571800000,-0.354258,-0.158491,-0.288992,-0.222141
19.5714000000,-0.349736,-0.158356,-0.283937,-0.223740
19.5855400000,-0.345854,-0.158675,-0.279259,-0.225165
19.5998200000,-0.340846,-0.160758,-0.271476,-0.227502
19.6142300000,-0.337628,-0.162283,-0.268201,-0.228644
19.6287400000,-0.330020,-0.164385,-0.261651,-0.230967
