frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
"6.2061940000","0.001292","-0.001057","-0.390311","-0.020560"
"6.2204630000","0.001498","-0.001284","-0.301597","0.070397"
"6.2341990000","0.001686","-0.001485","0.001038","-0.000461"
"6.2488420000","0.001748","-0.001534","0.001101","-0.000511"
"6.2657010000","0.001855","-0.001580","0.001213","-0.000565"
"6.2773060000","0.001939","-0.001520","0.001304","-0.000515"
"6.2943260000","0.002010","-0.001421","0.001383","-0.000427"
"6.3113070000","0.002060","-0.001220","-0.379406","0.034778"
"6.3198330000","0.002140","-0.000977","-0.379316","0.034919"
"6.3342050000","0.002220","-0.000775","-0.379185","0.035053"
"6.3484670000","0.002337","-0.000403","-0.373182","0.034786"
"6.3636840000","0.002432","-0.000043","-0.261750","0.056594"
"6.3770340000","0.002457","0.000094","-0.410535","0.051680"
"6.3925320000","0.002478","0.000475","-0.387948","0.032106"
"6.4063570000","0.002439","0.000660","0.000363","0.000288"
"6.4233280000","0.002233","0.000995","0.000178","0.000629"
"6.4354830000","0.001977","0.001162","-0.000314","-0.000106"
"6.4484110000","0.001594","0.001238","-0.000669","-0.000012"
"6.4626530000","0.001079","0.001195","-0.000955","-0.000796"
"6.4770550000","0.000701","0.001125","-0.001321","-0.000854"
"6.4912590000","0.000038","0.001021","-0.001968","-0.000937"
"6.5062620000","-0.000175","0.000981","-0.002176","-0.000968"
"6.5202350000","-0.000798","0.000906","-0.002790","-0.001031"
"6.5364030000","-0.001487","0.000792","-0.003463","-0.001136"
"6.5512700000","-0.002029","0.000628","-0.003975","-0.001288"
"6.5697780000","-0.418083","0.060454","-0.460369","0.107539"
"6.5862550000","-0.000762","-0.001360","-0.460921","0.107162"
"6.5913980000","-0.001000","-0.001571","-0.461106","0.106985"
"6.6059450000","-0.001388","-0.001984","-0.461359","0.106635"
"6.6202830000","-0.001766","-0.002440","-0.461558","0.106233"
"6.6359110000","-0.001938","-0.002635","-0.461618","0.106057"
"6.6489380000","-0.002222","-0.002908","-0.461630","0.105778"
"6.6664970000","-0.399285","0.079304","-0.461605","0.105451"
"6.6787360000","-0.399417","0.079979","-0.461241","0.105273"
"6.6943970000","-0.404116","0.084226","-0.460545","0.105363"
"6.7078180000","-0.446260","0.136902","-0.459590","0.105425"
"6.7202850000","-0.447240","0.143045","-0.459422","0.105488"
"6.7341720000","-0.451149","0.138586","-0.459231","0.105576"
"6.7491870000","-0.451678","0.113758","-0.458635","0.106043"
"6.7643790000","-0.452961","0.124636","-0.457402","0.107223"
"6.7770850000","-0.452924","0.124818","-0.455838","0.108806"
"6.7915450000","-0.451510","0.126456","-0.449259","0.118671"
"6.8058450000","-0.449182","0.129496","-0.443678","0.127221"
"6.8209210000","-0.446437","0.134149","-0.440181","0.132956"
"6.8354180000","-0.445365","0.136424","-0.437546","0.138742"
"6.8483870000","-0.467896","0.172798","-0.453385","0.176896"
"6.8627620000","-0.481592","0.196446","-0.456929","0.181177"
"6.8769370000","-0.481955","0.197730","-0.000904","0.000922"
"6.8915380000","-0.481614","0.198644","-0.456540","0.192621"
"6.9059590000","-0.465311","0.256796","-0.456678","0.192697"
"6.9199750000","-0.459464","0.293092","-0.456841","0.192842"
"6.9342690000","-0.468226","0.227065","-0.453784","0.196243"
"6.9498110000","-0.001118","0.001382","-0.450723","0.199026"
"6.9647680000","-0.001494","0.001788","-0.447548","0.200783"
"6.9769370000","-0.460724","0.189634","-0.442646","0.201742"
"6.9911570000","-0.457408","0.192369","-0.434687","0.202915"
"7.0056510000","-0.427821","0.090982","-0.430236","0.203064"
"7.0197250000","-0.427445","0.083616","-0.425392","0.202613"
"7.0341910000","-0.426935","0.078929","-0.418905","0.200642"
"7.0487690000","-0.428146","0.079630","-0.415173","0.198974"
"7.0647540000","-0.421720","0.104941","-0.407980","0.195924"
"7.0777320000","-0.394615","0.080440","-0.404094","0.193119"
"7.0922570000","-0.395161","0.077517","-0.399598","0.191498"
"7.1070130000","-0.396567","0.079383","-0.392075","0.190425"
"7.1198160000","-0.377904","0.109260","-0.361608","0.188635"
"7.1340910000","-0.378013","0.109440","-0.357389","0.189243"
"7.1486020000","-0.365357","0.093251","-0.000459","0.001628"
"7.1627380000","-0.342521","0.061563","-0.341745","0.183111"
"7.1770050000","-0.342460","0.061494","-0.339741","0.183561"
"7.1913210000","-0.328903","0.072460","-0.331959","0.182583"
"7.2055500000","-0.321840","0.077710","-0.323699","0.182305"
"7.2207930000","-0.311423","0.077453","-0.316538","0.183972"
"7.2343340000","-0.304275","0.079716","-0.308067","0.183143"
"7.2483250000","-0.301505","0.080021","-0.303615","0.184118"
"7.2625610000","-0.296874","0.079845","-0.297976","0.184482"
"7.2770330000","-0.279919","0.077627","-0.289708","0.183806"
"7.2912500000","-0.274239","0.077798","-0.280923","0.179290"
"7.3055930000","-0.272027","0.078224","-0.277935","0.177327"
"7.3200010000","-0.267696","0.079318","-0.270261","0.176534"
"7.3347040000","-0.261794","0.079753","-0.264140","0.175884"
"7.3486500000","-0.253078","0.078781","-0.258069","0.174785"
"7.3627700000","-0.243125","0.076601","-0.250612","0.173235"
"7.3769750000","-0.233474","0.074365","-0.244457","0.170437"
"7.3911320000","-0.230332","0.074003","-0.241250","0.170055"
"7.4056140000","-0.224705","0.073052","-0.233583","0.166200"
"7.4197330000","-0.219336","0.072186","-0.230361","0.165467"
"7.4340470000","-0.212592","0.070788","-0.227335","0.164536"
"7.4486840000","-0.202791","0.070552","-0.219703","0.162286"
"7.4626990000","-0.197786","0.068946","-0.210904","0.162091"
"7.4772920000","-0.186694","0.068515","-0.204860","0.159441"
"7.4913640000","-0.177919","0.069610","-0.193332","0.158411"
"7.5063640000","-0.165936","0.069117","-0.243231","0.023334"
"7.5197470000","-0.160410","0.069355","-0.244085","0.023227"
"7.5340270000","-0.161545","0.070550","-0.250107","0.028455"
"7.5489010000","-0.166977","0.076062","-0.251936","0.026686"
"7.5626090000","-0.165784","0.079131","-0.194524","0.026232"
"7.5770470000","-0.164449","0.080780","-0.193984","0.025391"
"7.5913120000","-0.162438","0.081983","-0.190283","0.002567"
"7.6068610000","-0.157376","0.082876","-0.000117","0.000879"
"7.6213380000","-0.184433","0.027860","-0.000026","0.001192"
"7.6347190000","-0.165533","0.026527","-0.168668","0.003203"
"7.6493390000","-0.158636","0.029127","-0.165310","-0.026313"
"7.6627750000","-0.145576","0.035279","-0.163814","-0.020717"
"7.6769510000","-0.136390","0.046500","-0.153204","0.044906"
"7.6913490000","-0.135003","0.051548","-0.182945","0.102491"
"7.7059550000","-0.131941","0.054435","-0.156846","0.005728"
"7.7197460000","-0.115538","0.078193","0.001325","0.000518"
"7.7347500000","-0.104416","0.082737","0.001802","0.000685"
"7.7503290000","-0.098343","0.085038","0.002182","0.000833"
"7.7626780000","-0.094266","0.086317","0.002366","0.000941"
"7.7789220000","-0.087897","0.086960","0.002623","0.001170"
"7.7911350000","-0.081538","0.086858","-0.164756","-0.013084"
"7.8056460000","-0.077273","0.087333","-0.176332","-0.007998"
"7.8198890000","-0.071306","0.087914","-0.178729","-0.006355"
"7.8343600000","-0.064942","0.088270","-0.180381","-0.001646"
"7.8490100000","-0.060130","0.088947","-0.177818","0.005702"
"7.8629710000","-0.052983","0.091554","-0.169482","0.039765"
"7.8770850000","-0.047828","0.092123","-0.000264","0.002147"
"7.8922590000","-0.042209","0.091930","-0.000322","0.002860"
"7.9054770000","-0.037037","0.091087","-0.000306","0.003394"
"7.9196660000","-0.033693","0.091761","-0.000266","0.003701"
"7.9339970000","-0.028016","0.096745","-0.000082","0.004326"
"7.9487770000","-0.025796","0.097124","0.000051","0.004619"
"7.9626090000","-0.021237","0.097316","0.000273","0.004977"
"7.9770500000","-0.018704","0.097611","0.000361","0.005087"
"7.9912860000","-0.019901","0.100626","0.000586","0.005442"
"8.0061720000","-0.019652","0.101020","0.000799","0.005898"
"8.0225150000","-0.018919","0.102014","0.000988","0.006483"
"8.0346550000","-0.015068","0.105392","0.001070","0.006900"
