frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
6.4630470000,-0.001028,-0.000377,-0.001028,-0.000377
6.4778780000,-0.000784,-0.000523,-0.000784,-0.000523
6.4906200000,-0.000647,-0.000578,-0.000647,-0.000578
6.5048820000,-0.000524,-0.000616,-0.000524,-0.000616
6.5195780000,-0.000458,-0.000659,-0.000458,-0.000659
6.5336450000,-0.000401,-0.000706,-0.000401,-0.000706
6.5507230000,-0.000392,-0.000734,-0.000392,-0.000734
6.5620780000,-0.000398,-0.000717,-0.000398,-0.000717
6.5767480000,-0.000411,-0.000712,-0.000411,-0.000712
6.5905370000,-0.000434,-0.000673,-0.000434,-0.000673
6.6058850000,-0.000483,-0.000499,-0.000483,-0.000499
6.6198600000,-0.000518,-0.000408,-0.000518,-0.000408
6.6337730000,-0.000612,-0.000249,-0.000612,-0.000249
6.6477820000,-0.000770,0.000024,-0.000770,0.000024
6.6622070000,-0.000874,0.000354,-0.000874,0.000354
6.6774540000,-0.000889,0.000485,-0.000889,0.000485
6.6905240000,-0.000906,0.000707,-0.000906,0.000707
6.7050510000,-0.000899,0.000832,-0.000899,0.000832
6.7196160000,-0.000848,0.000896,-0.000848,0.000896
6.7337470000,-0.000692,0.000883,-0.000692,0.000883
6.7485230000,-0.000573,0.000837,-0.000573,0.000837
6.7618300000,-0.000439,0.000782,-0.000439,0.000782
6.7764640000,-0.000336,0.000752,-0.000336,0.000752
6.7905920000,-0.000186,0.000728,-0.000186,0.000728
6.8048100000,-0.000094,0.000769,-0.000094,0.000769
6.8227460000,-0.000087,0.000810,-0.000087,0.000810
6.8362650000,-0.000135,0.000893,-0.000135,0.000893
6.8475570000,-0.000251,0.000945,-0.000251,0.000945
6.8620560000,-0.000438,0.000974,-0.000438,0.000974
6.8766550000,-0.000704,0.001028,-0.000704,0.001028
6.8905840000,-0.000926,0.001023,-0.000926,0.001023
6.9047370000,-0.001153,0.000950,-0.001153,0.000950
6.9200090000,-0.001329,0.000852,-0.001329,0.000852
6.9352590000,-0.001506,0.000657,-0.001506,0.000657
6.9484180000,-0.001644,0.000428,-0.001644,0.000428
6.9619950000,-0.001644,0.000428,-0.001644,0.000428
6.9763990000,-0.001757,0.000099,-0.001757,0.000099
6.9904730000,-0.001762,-0.000120,-0.001762,-0.000120
7.0052750000,-0.001755,-0.000314,-0.001755,-0.000314
7.0203440000,-0.001741,-0.000462,-0.001741,-0.000462
7.0334450000,-0.001761,-0.000596,-0.001761,-0.000596
7.0477520000,-0.001782,-0.000673,-0.001782,-0.000673
7.0619460000,-0.001845,-0.000773,-0.001845,-0.000773
7.0776230000,-0.001877,-0.000824,-0.001877,-0.000824
7.0915340000,-0.001961,-0.000927,-0.001961,-0.000927
