frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
8.3579660000,0.260907,-0.064271,0.188760,-0.076078
8.3725960000,0.258079,-0.066284,0.181464,-0.078939
8.3878470000,0.254947,-0.068234,0.170561,-0.080735
8.4013650000,0.249372,-0.068880,0.166711,-0.079783
8.4150710000,0.237791,-0.070895,0.162709,-0.081140
8.4293470000,0.230400,-0.071360,0.161329,-0.080590
8.4440000000,0.230025,-0.071753,0.152291,-0.081905
8.4582840000,0.229956,-0.072878,0.146761,-0.082652
8.4722880000,0.230240,-0.073517,0.146668,-0.082741
8.4865760000,0.205060,-0.077095,0.134796,-0.081703
8.5012980000,0.185384,-0.077495,0.111187,-0.084181
8.5156860000,0.181164,-0.074852,0.109537,-0.085397
8.5297780000,0.178965,-0.073460,0.109586,-0.085424
8.5436330000,0.126912,-0.058144,0.108418,-0.085351
8.5578730000,0.118657,-0.056843,0.085257,-0.086333
8.5728740000,0.104070,-0.044317,0.082962,-0.086066
8.5868320000,0.097669,-0.042700,0.076242,-0.086017
8.6008190000,0.096044,-0.042732,0.068724,-0.085831
8.6150520000,0.090074,-0.042193,0.062206,-0.085300
8.6293650000,0.087256,-0.042228,0.061668,-0.085498
8.6437410000,0.066992,-0.045724,0.053542,-0.086084
8.6587560000,0.064129,-0.045741,0.037919,-0.087162
8.6727530000,0.063064,-0.045571,0.033144,-0.086687
8.6863900000,0.049960,-0.046653,0.027613,-0.088839
8.7014100000,-0.019266,-0.073697,-0.016539,-0.088304
8.7153840000,-0.018151,-0.068875,-0.036529,-0.061025
8.7295290000,-0.018603,-0.069112,-0.035562,-0.055794
8.7435700000,-0.024655,-0.071050,-0.034135,-0.052414
8.7579230000,-0.033264,-0.073210,-0.033913,-0.051494
8.7721610000,-0.038598,-0.074045,-0.033823,-0.051332
8.7869480000,-0.038598,-0.074045,-0.033823,-0.051332
8.8008320000,-0.044873,-0.073792,-0.052276,-0.054063
8.8158290000,-0.050161,-0.065865,-0.061872,-0.054131
8.8293730000,-0.050866,-0.065916,-0.071045,-0.054686
8.8438190000,-0.051185,-0.065502,-0.075237,-0.056022
8.8580830000,-0.053215,-0.066188,-0.080555,-0.055254
8.8722090000,-0.072545,-0.058774,-0.093945,-0.050054
8.8863780000,-0.074462,-0.057281,-0.095898,-0.050839
8.9010130000,-0.077411,-0.056798,-0.099537,-0.051398
8.9168000000,-0.077526,-0.056339,-0.106626,-0.050798
8.9297520000,-0.077686,-0.056027,-0.110349,-0.050487
8.9436320000,-0.078644,-0.055568,-0.113864,-0.049384
8.9578550000,-0.082535,-0.055944,-0.124153,-0.047403
8.9722680000,-0.087484,-0.058604,-0.188349,-0.065099
8.9872170000,-0.090364,-0.058918,-0.182951,-0.074936
