frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
6.0177080000,-0.287149,0.109993,-0.248573,0.070222
6.0331020000,-0.296865,0.106458,-0.257010,0.067399
6.0489950000,-0.300358,0.102975,-0.261195,0.065175
6.0638810000,-0.288231,0.087956,-0.284610,0.026350
6.0815870000,-0.287728,0.082325,-0.286004,0.025272
6.0893720000,-0.287981,0.081871,-0.308326,0.028811
6.1031440000,-0.289151,0.080703,-0.311414,0.029651
6.1170540000,-0.292573,0.077727,-0.325297,0.050547
6.1327770000,-0.294516,0.076617,-0.334509,0.056511
6.1459430000,-0.294757,0.076530,-0.337064,0.057875
6.1609450000,-0.297660,0.072069,-0.348298,0.059357
6.1754080000,-0.299139,0.070430,-0.355689,0.059374
6.1922290000,-0.299677,0.065762,-0.363615,0.058824
6.2079090000,-0.300184,0.064520,-0.369807,0.059206
6.2174680000,-0.300418,0.064477,-0.375311,0.060289
6.2313670000,-0.302058,0.062916,-0.378667,0.060546
6.2456070000,-0.306168,0.060184,-0.382140,0.060921
6.2600470000,-0.308496,0.062837,-0.384726,0.062827
6.2749010000,-0.311905,0.069416,-0.390202,0.065124
6.2901860000,-0.369378,0.059351,-0.452432,0.071633
6.3031060000,-0.400626,0.060729,-0.452379,0.071600
6.3191190000,-0.401355,0.060213,-0.429292,0.070662
6.3319310000,-0.398761,0.060214,-0.425550,0.069445
6.3456290000,-0.395387,0.060255,-0.423532,0.068444
6.3598260000,-0.393451,0.059771,-0.422150,0.067455
6.3746670000,-0.416910,0.076511,-0.425105,0.065060
6.3889650000,-0.417270,0.076272,-0.427372,0.062981
6.4044450000,-0.417270,0.075986,-0.426857,0.062600
6.4171540000,-0.417246,0.076054,-0.426370,0.062544
6.4316770000,-0.417076,0.076367,-0.425639,0.062423
6.4470280000,-0.416651,0.076999,-0.424224,0.062474
6.4609690000,-0.416071,0.077420,-0.423008,0.062413
6.4753460000,-0.415298,0.078303,-0.426835,0.060526
6.4883800000,-0.415292,0.078493,-0.429013,0.059695
6.5027660000,-0.418447,0.079058,-0.378777,0.070872
6.5170080000,-0.526742,0.089565,-0.484105,0.079115
6.5325980000,-0.519479,0.102916,-0.485176,0.078037
6.5456680000,-0.518156,0.105693,-0.485242,0.077921
6.5601350000,-0.516995,0.108468,-0.485311,0.077885
6.5755690000,-0.515340,0.113405,-0.495445,0.080248
6.5940050000,-0.514450,0.116096,-0.490451,0.082233
6.6071750000,-0.513660,0.118329,-0.487516,0.080695
6.6169340000,-0.512707,0.120442,-0.490835,0.081543
